model_key,model,model_long,bucket,bucket_label,bucket_order,auc,n_hwc,n_agc,hwc_mean,agc_mean,npr_gap,source_file
codellama-7b,CL7B,CodeLlama-7B,type01_110,100--110,0,0.897778,15,15,1.297371,1.71866,0.421289,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type02_120,111--120,1,0.888889,15,15,1.304048,1.587585,0.28353699999999993,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type03_130,121--130,2,0.8,15,15,1.285847,1.587161,0.3013140000000001,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type04_140,131--140,3,0.884444,15,15,1.295136,1.656898,0.3617619999999999,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type05_150,141--150,4,0.911111,15,15,1.227461,1.535615,0.30815400000000004,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type06_160,151--160,5,0.951111,15,15,1.227458,1.600334,0.372876,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type07_170,161--170,6,0.817778,15,15,1.271491,1.510318,0.23882700000000012,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type08_180,171--180,7,0.933333,15,15,1.232564,1.534733,0.3021689999999999,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type09_190,181--190,8,0.92,15,15,1.261505,1.64196,0.380455,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
codellama-7b,CL7B,CodeLlama-7B,type10_200,191--200,9,0.831111,15,15,1.228908,1.397553,0.16864500000000016,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_codellama-7b_50files_bucket_summary.csv
starcoder2-7b,SC7B,StarCoder2-7B,type01_110,100--110,0,0.764444,15,15,1.419917,1.662267,0.24234999999999984,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-7b_50files_bucket_summary.csv
starcoder2-7b,SC7B,StarCoder2-7B,type02_120,111--120,1,0.928889,15,15,1.390092,1.743213,0.3531209999999998,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-7b_50files_bucket_summary.csv
starcoder2-7b,SC7B,StarCoder2-7B,type03_130,121--130,2,0.991111,15,15,1.365375,1.747999,0.3826240000000001,../logs/npr_scores_main_mixedcode_benchmark_mixedcode_starcoder2-7b_50files_bucket_summary.csv
