benchmark_type,body_token_range,hwc_all,agc_all,hwc_parse_ok,agc_parse_ok,possible_mixed_files_3hwc_3agc,capped_by_files_per_type
type01_110,100-110,158,105,158,105,35,35
type02_120,111-120,142,82,142,82,27,27
type03_130,121-130,109,62,109,62,20,20
type04_140,131-140,115,63,115,63,21,21
type05_150,141-150,97,58,97,58,19,19
type06_160,151-160,83,55,83,55,18,18
type07_170,161-170,81,37,81,37,12,12
type08_180,171-180,83,25,83,25,8,8
type09_190,181-190,82,36,82,36,12,12
type10_200,191-200,66,25,66,25,8,8
