line_num,human_idx,lm_idx,human_parse_reason,lm_parse_reason,hwc_body_tokens,agc_body_tokens,min_body_tokens,max_body_tokens,abs_diff_body_tokens,both_parse_ok
1,line1_human,line1_lm,ok,ok,44,124,44,124,80,1
3,line3_human,line3_lm,ok,ok,97,94,94,97,3,1
5,line5_human,line5_lm,ok,ok,209,11,11,209,198,1
6,line6_human,line6_lm,ok,ok,27,27,27,27,0,1
8,line8_human,line8_lm,ok,ok,47,45,45,47,2,1
10,line10_human,line10_lm,ok,ok,28,10,10,28,18,1
11,line11_human,line11_lm,ok,ok,22,11,11,22,11,1
12,line12_human,line12_lm,ok,ok,43,21,21,43,22,1
16,line16_human,line16_lm,ok,ok,79,82,79,82,3,1
17,line17_human,line17_lm,ok,ok,138,115,115,138,23,1
18,line18_human,line18_lm,ok,ok,277,115,115,277,162,1
19,line19_human,line19_lm,ok,ok,48,6,6,48,42,1
20,line20_human,line20_lm,ok,ok,1085,209,209,1085,876,1
21,line21_human,line21_lm,ok,ok,13,311,13,311,298,1
23,line23_human,line23_lm,ok,ok,722,85,85,722,637,1
24,line24_human,line24_lm,ok,ok,21,116,21,116,95,1
25,line25_human,line25_lm,ok,ok,39,27,27,39,12,1
26,line26_human,line26_lm,ok,ok,25,69,25,69,44,1
27,line27_human,line27_lm,ok,ok,54,56,54,56,2,1
28,line28_human,line28_lm,ok,ok,37,7,7,37,30,1
29,line29_human,line29_lm,ok,ok,639,591,591,639,48,1
30,line30_human,line30_lm,ok,ok,67,34,34,67,33,1
32,line32_human,line32_lm,ok,ok,140,66,66,140,74,1
33,line33_human,line33_lm,ok,ok,95,12,12,95,83,1
34,line34_human,line34_lm,ok,ok,278,90,90,278,188,1
35,line35_human,line35_lm,ok,ok,110,66,66,110,44,1
36,line36_human,line36_lm,ok,ok,14,113,14,113,99,1
37,line37_human,line37_lm,ok,ok,143,80,80,143,63,1
38,line38_human,line38_lm,ok,ok,38,70,38,70,32,1
39,line39_human,line39_lm,ok,ok,282,45,45,282,237,1
40,line40_human,line40_lm,ok,ok,341,266,266,341,75,1
44,line44_human,line44_lm,ok,ok,246,78,78,246,168,1
45,line45_human,line45_lm,ok,ok,184,101,101,184,83,1
46,line46_human,line46_lm,ok,ok,392,20,20,392,372,1
47,line47_human,line47_lm,ok,ok,208,66,66,208,142,1
49,line49_human,line49_lm,ok,ok,29,34,29,34,5,1
50,line50_human,line50_lm,ok,ok,125,10,10,125,115,1
51,line51_human,line51_lm,ok,ok,117,64,64,117,53,1
52,line52_human,line52_lm,ok,ok,78,99,78,99,21,1
54,line54_human,line54_lm,ok,ok,195,45,45,195,150,1
55,line55_human,line55_lm,ok,ok,71,35,35,71,36,1
56,line56_human,line56_lm,ok,ok,805,174,174,805,631,1
57,line57_human,line57_lm,ok,ok,50,15,15,50,35,1
58,line58_human,line58_lm,ok,ok,57,20,20,57,37,1
59,line59_human,line59_lm,ok,ok,568,495,495,568,73,1
60,line60_human,line60_lm,ok,ok,23,11,11,23,12,1
61,line61_human,line61_lm,ok,ok,92,52,52,92,40,1
67,line67_human,line67_lm,ok,ok,100,42,42,100,58,1
68,line68_human,line68_lm,ok,ok,138,61,61,138,77,1
69,line69_human,line69_lm,ok,ok,62,14,14,62,48,1
70,line70_human,line70_lm,ok,ok,58,47,47,58,11,1
71,line71_human,line71_lm,ok,ok,576,132,132,576,444,1
72,line72_human,line72_lm,ok,ok,25,202,25,202,177,1
73,line73_human,line73_lm,ok,ok,87,18,18,87,69,1
74,line74_human,line74_lm,ok,ok,43,30,30,43,13,1
76,line76_human,line76_lm,ok,ok,19,42,19,42,23,1
77,line77_human,line77_lm,ok,ok,73,70,70,73,3,1
78,line78_human,line78_lm,ok,ok,75,54,54,75,21,1
79,line79_human,line79_lm,ok,ok,84,6,6,84,78,1
81,line81_human,line81_lm,ok,ok,82,14,14,82,68,1
82,line82_human,line82_lm,ok,ok,56,69,56,69,13,1
83,line83_human,line83_lm,ok,ok,93,97,93,97,4,1
85,line85_human,line85_lm,ok,ok,72,19,19,72,53,1
86,line86_human,line86_lm,ok,ok,132,11,11,132,121,1
87,line87_human,line87_lm,ok,ok,249,123,123,249,126,1
89,line89_human,line89_lm,ok,ok,533,38,38,533,495,1
90,line90_human,line90_lm,ok,ok,84,25,25,84,59,1
91,line91_human,line91_lm,ok,ok,74,37,37,74,37,1
93,line93_human,line93_lm,ok,ok,48,50,48,50,2,1
94,line94_human,line94_lm,ok,ok,183,52,52,183,131,1
95,line95_human,line95_lm,ok,ok,39,10,10,39,29,1
96,line96_human,line96_lm,ok,ok,196,82,82,196,114,1
97,line97_human,line97_lm,ok,ok,77,11,11,77,66,1
