csv_row_no,idx,line_num,role,label,parse_reason,full_tokens_split_space,full_tokens_regex,body_tokens_split_space,body_tokens_regex,prompt_tokens_split_space,full_chars,body_chars,prompt_chars,full_lines,body_lines,prompt_lines
2,line1_human,1,human,human,ok,113,50,44,15,70,380,95,285,12,5,7
3,line1_lm,1,lm,lm,ok,193,68,124,33,70,755,470,285,18,11,7
4,line10_human,10,human,human,ok,43,22,28,13,16,207,131,76,4,2,2
5,line10_lm,10,lm,lm,ok,25,11,10,2,16,107,31,76,3,1,2
6,line100_human,100,human,human,ok,62,34,37,17,26,283,134,149,10,5,5
7,line100_lm,100,lm,lm,ok,32,20,7,3,26,188,39,149,6,1,5
8,line1000_human,1000,human,human,ok,72,23,49,8,24,272,164,108,8,4,4
9,line1000_lm,1000,lm,lm,ok,35,20,12,5,24,149,41,108,6,2,4
10,line1001_human,1001,human,human,ok,153,86,61,26,93,623,210,413,19,6,13
11,line1001_lm,1001,lm,lm,ok,199,88,107,28,93,694,281,413,23,10,13
12,line1002_human,1002,human,human,ok,101,29,90,24,12,485,407,78,9,7,2
13,line1002_lm,1002,lm,lm,ok,36,8,25,3,12,282,204,78,5,3,2
14,line1003_human,1003,human,human,ok,218,72,13,5,206,696,74,622,25,1,24
15,line1003_lm,1003,lm,lm,ok,219,73,14,6,206,688,66,622,25,1,24
16,line1004_human,1004,human,human,ok,117,46,67,17,51,421,198,223,16,7,9
17,line1004_lm,1004,lm,lm,ok,82,40,32,11,51,350,127,223,13,4,9
18,line1006_human,1006,human,human,ok,109,38,64,20,46,372,235,137,12,6,6
19,line1006_lm,1006,lm,lm,ok,95,31,50,13,46,276,139,137,10,4,6
20,line1007_human,1007,human,human,ok,151,65,66,20,86,610,258,352,25,8,17
21,line1007_lm,1007,lm,lm,ok,92,48,7,3,86,392,40,352,18,1,17
22,line1008_human,1008,human,human,ok,46,58,13,20,34,387,172,215,14,8,6
23,line1008_lm,1008,lm,lm,ok,37,45,4,7,34,290,75,215,10,4,6
24,line101_human,101,human,human,ok,206,58,88,14,119,676,289,387,24,10,14
25,line101_lm,101,lm,lm,ok,369,131,251,87,119,1276,889,387,36,22,14
26,line1011_human,1011,human,human,ok,78,91,33,40,46,661,342,319,20,12,8
27,line1011_lm,1011,lm,lm,ok,63,74,18,23,46,485,166,319,14,6,8
28,line1012_human,1012,human,human,ok,45,27,31,18,15,242,151,91,7,4,3
29,line1012_lm,1012,lm,lm,ok,25,16,11,7,15,121,30,91,4,1,3
30,line1013_human,1013,human,human,ok,354,181,282,129,73,1535,1185,350,45,36,9
31,line1013_lm,1013,lm,lm,ok,223,111,151,59,73,792,442,350,27,18,9
32,line1014_human,1014,human,human,ok,64,39,46,29,19,318,176,142,10,5,5
33,line1014_lm,1014,lm,lm,ok,53,31,35,21,19,308,166,142,8,3,5
34,line1015_human,1015,human,human,ok,580,172,454,108,127,1714,1189,525,46,36,10
35,line1015_lm,1015,lm,lm,ok,264,114,138,50,127,925,400,525,19,9,10
36,line1016_human,1016,human,human,ok,110,39,87,24,24,366,261,105,14,10,4
37,line1016_lm,1016,lm,lm,ok,33,21,10,6,24,147,42,105,5,1,4
38,line1017_human,1017,human,human,ok,109,72,20,6,90,636,171,465,15,4,11
39,line1017_lm,1017,lm,lm,ok,105,71,16,5,90,534,69,465,13,2,11
40,line102_human,102,human,human,ok,405,134,223,62,183,1306,728,578,42,24,18
41,line102_lm,102,lm,lm,ok,253,96,81,27,173,799,246,553,27,10,17
42,line1023_human,1023,human,human,ok,356,130,306,100,51,1224,990,234,28,24,4
43,line1023_lm,1023,lm,lm,ok,147,49,97,19,51,468,234,234,11,7,4
44,line1026_human,1026,human,human,ok,68,18,38,8,31,200,116,84,7,3,4
45,line1026_lm,1026,lm,lm,ok,49,14,19,4,31,141,57,84,6,2,4
46,line1027_human,1027,human,human,ok,143,40,111,28,33,461,371,90,14,10,4
47,line1027_lm,1027,lm,lm,ok,51,16,19,4,33,169,79,90,6,2,4
48,line1028_human,1028,human,human,ok,162,51,58,14,105,464,138,326,16,5,11
49,line1028_lm,1028,lm,lm,ok,119,44,15,7,105,411,85,326,12,1,11
50,line1030_human,1030,human,human,ok,474,178,428,146,47,2175,1932,243,54,46,8
51,line1030_lm,1030,lm,lm,ok,317,200,262,162,56,2036,1764,272,57,49,8
52,line1033_human,1033,human,human,ok,60,27,43,18,18,318,253,65,17,13,4
53,line1033_lm,1033,lm,lm,ok,38,17,21,8,18,162,97,65,8,4,4
54,line1038_human,1038,human,human,ok,329,101,290,82,40,1082,958,124,25,21,4
55,line1038_lm,1038,lm,lm,ok,171,57,132,38,40,548,424,124,15,11,4
56,line1039_human,1039,human,human,ok,88,44,35,11,54,457,189,268,14,5,9
57,line1039_lm,1039,lm,lm,ok,84,43,31,10,54,386,118,268,13,4,9
58,line104_human,104,human,human,ok,175,73,84,24,92,683,281,402,23,9,14
59,line104_lm,104,lm,lm,ok,134,68,43,19,92,578,176,402,19,5,14
60,line1040_human,1040,human,human,ok,156,200,129,171,28,1141,923,218,52,47,5
61,line1040_lm,1040,lm,lm,ok,47,54,20,25,28,381,164,217,10,6,4
62,line1041_human,1041,human,human,ok,220,76,196,64,25,1169,1073,96,29,25,4
63,line1041_lm,1041,lm,lm,ok,171,55,147,43,25,652,556,96,18,14,4
64,line1046_human,1046,human,human,ok,183,73,67,16,117,628,199,429,17,6,11
65,line1046_lm,1046,lm,lm,ok,127,60,11,3,117,480,51,429,12,1,11
66,line1047_human,1047,human,human,ok,115,44,77,26,39,460,276,184,11,7,4
67,line1047_lm,1047,lm,lm,ok,55,23,27,8,29,258,101,157,5,2,3
68,line105_human,105,human,human,ok,87,23,53,9,35,325,204,121,9,5,4
69,line105_lm,105,lm,lm,ok,45,17,11,3,35,169,48,121,5,1,4
70,line1051_human,1051,human,human,ok,97,31,87,23,11,383,288,95,15,13,2
71,line1051_lm,1051,lm,lm,ok,39,23,29,15,11,282,187,95,5,3,2
72,line1052_human,1052,human,human,ok,114,39,65,17,50,356,180,176,11,5,6
73,line1052_lm,1052,lm,lm,ok,93,29,44,7,50,271,95,176,10,4,6
74,line1054_human,1054,human,human,ok,321,90,303,78,19,992,889,103,26,24,2
75,line1054_lm,1054,lm,lm,ok,44,19,26,7,19,212,109,103,4,2,2
76,line1055_human,1055,human,human,ok,86,18,55,7,32,270,132,138,9,5,4
77,line1055_lm,1055,lm,lm,ok,110,20,79,9,32,281,143,138,11,7,4
78,line1056_human,1056,human,human,ok,125,50,103,33,23,465,351,114,13,9,4
79,line1056_lm,1056,lm,lm,ok,49,33,31,17,19,245,146,99,5,3,2
80,line1059_human,1059,human,human,ok,125,40,42,5,84,422,159,263,13,4,9
81,line1059_lm,1059,lm,lm,ok,94,38,11,3,84,307,44,263,10,1,9
82,line1063_human,1063,human,human,ok,140,37,126,29,15,555,470,85,11,9,2
83,line1063_lm,1063,lm,lm,ok,132,35,118,27,15,438,353,85,12,10,2
84,line1064_human,1064,human,human,ok,87,60,51,33,37,531,328,203,18,9,9
85,line1064_lm,1064,lm,lm,ok,56,41,20,14,37,287,84,203,12,3,9
86,line1066_human,1066,human,human,ok,162,43,125,26,38,471,319,152,15,10,5
87,line1066_lm,1066,lm,lm,ok,84,27,47,10,38,306,154,152,9,4,5
88,line1068_human,1068,human,human,ok,134,57,118,47,17,561,476,85,12,10,2
89,line1068_lm,1068,lm,lm,ok,33,12,17,2,17,126,41,85,4,2,2
90,line1069_human,1069,human,human,ok,63,32,36,16,28,297,158,139,11,5,6
91,line1069_lm,1069,lm,lm,ok,60,29,33,13,28,285,146,139,11,5,6
92,line107_human,107,human,human,ok,229,41,116,20,114,751,395,356,11,6,5
93,line107_lm,107,lm,lm,ok,450,32,337,11,114,863,507,356,13,8,5
94,line1070_human,1070,human,human,ok,143,62,67,24,77,545,252,293,17,6,11
95,line1070_lm,1070,lm,lm,ok,163,85,87,47,77,644,351,293,22,11,11
96,line1071_human,1071,human,human,ok,401,167,275,103,127,1446,915,531,36,24,12
97,line1071_lm,1071,lm,lm,ok,490,129,364,65,127,1375,844,531,45,33,12
98,line1073_human,1073,human,human,ok,55,24,32,13,24,328,230,98,14,9,5
99,line1073_lm,1073,lm,lm,ok,45,20,22,9,24,220,123,97,8,4,4
100,line1076_human,1076,human,human,ok,109,67,96,56,14,579,487,92,15,13,2
101,line1076_lm,1076,lm,lm,ok,45,22,32,11,14,224,132,92,6,4,2
102,line1077_human,1077,human,human,ok,211,69,131,30,81,605,266,339,19,8,11
103,line1077_lm,1077,lm,lm,ok,137,52,57,13,81,505,167,338,15,5,10
104,line1079_human,1079,human,human,ok,152,80,46,24,107,803,352,451,27,11,16
105,line1079_lm,1079,lm,lm,ok,168,87,62,31,107,617,167,450,21,6,15
106,line1081_human,1081,human,human,ok,213,104,129,61,85,839,486,353,20,11,9
