index,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
0,1.600900,1.546006,HWC,0.793384,0.337201,1.270128,0.521315
1,1.576890,1.605646,MGC,0.516598,0.329169,0.814618,0.528529
2,1.051991,1.952589,MGC,1.398066,0.253728,1.470753,0.495426
3,1.195702,2.038766,MGC,0.774848,0.280555,0.926487,0.571986
4,1.341675,2.389036,MGC,0.544987,0.205495,0.731196,0.490935
5,1.248512,1.551925,MGC,0.853917,0.312287,1.066125,0.484646
6,1.213690,1.334478,MGC,0.739276,0.508833,0.897251,0.679026
7,1.277515,1.806685,MGC,1.000515,0.231389,1.278172,0.418048
8,1.143746,1.571810,MGC,1.143494,0.310106,1.307867,0.487428
9,1.227733,1.647069,MGC,0.718386,0.377788,0.881986,0.622243
10,1.311827,1.713486,MGC,0.393402,0.230414,0.516075,0.394811
11,1.132928,1.799266,MGC,0.782697,0.208133,0.886739,0.374486
12,1.284640,1.303717,MGC,0.454039,0.479582,0.583277,0.625239
13,1.121343,1.462696,MGC,1.057876,0.441534,1.186242,0.645830
14,1.263837,1.416920,MGC,0.620719,0.389416,0.784487,0.551771
15,1.242950,1.918064,MGC,0.754449,0.359527,0.937742,0.689596
16,1.254381,1.590309,MGC,0.496224,0.417466,0.622454,0.663900
17,1.071097,1.236953,MGC,1.610496,0.667057,1.724998,0.825118
18,1.413433,1.395547,HWC,0.440437,0.315583,0.622528,0.440411
19,1.206273,2.118693,MGC,0.918259,0.274487,1.107671,0.581555
20,1.244010,1.602703,MGC,0.517525,0.333064,0.643806,0.533803
21,1.380063,2.841109,MGC,0.429742,0.119853,0.593071,0.340517
22,1.359963,1.661295,MGC,0.617809,0.277390,0.840197,0.460827
23,1.223221,1.741134,MGC,0.788249,0.357232,0.964203,0.621988
24,1.569858,1.669486,MGC,0.335407,0.328442,0.526541,0.548329
25,1.289839,1.576335,MGC,0.587252,0.524001,0.757460,0.826001
26,1.447644,1.949124,MGC,0.655303,0.260775,0.948646,0.508282
27,1.194429,1.472711,MGC,0.747631,0.372384,0.892992,0.548415
28,1.383349,1.862205,MGC,0.586775,0.258443,0.811714,0.481274
29,1.066052,0.978732,HWC,1.200276,1.786533,1.279557,1.748537
30,1.079088,1.552385,MGC,1.121798,0.421753,1.210519,0.654724
31,1.178757,1.491585,MGC,0.706329,0.391783,0.832589,0.584377
32,1.193186,1.630721,MGC,0.872532,0.288412,1.041093,0.470319
33,1.280905,1.698269,MGC,0.604924,0.325537,0.774850,0.552850
34,1.665336,1.595402,HWC,0.231934,0.414878,0.386247,0.661897
35,1.208743,1.469896,MGC,0.909578,0.544994,1.099446,0.801085
36,1.481951,1.753729,MGC,0.280924,0.192117,0.416316,0.336922
37,1.172657,1.671092,MGC,0.883792,0.268246,1.036385,0.448263
38,1.171240,1.232810,MGC,0.958489,0.831768,1.122621,1.025412
39,1.309394,1.775534,MGC,0.680313,0.304334,0.890797,0.540355
40,1.432969,1.743236,MGC,0.531625,0.221816,0.761802,0.386678
41,1.456057,1.430310,HWC,0.261530,0.315790,0.380802,0.451678
