line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
10,human,0,87,0,1.676801,0.529258,0.887460
10,lm,0,78,0,1.979308,0.331491,0.656124
100,human,0,49,0,1.390325,0.896685,1.246684
100,lm,0,13,0,1.103334,1.402066,1.546947
1000,human,0,128,0,1.167674,1.316504,1.537248
1000,human,1,128,0,1.320734,1.082676,1.429927
1000,human,2,128,0,1.178907,1.101223,1.298240
1000,human,3,128,0,1.061248,2.063360,2.189736
1000,human,4,128,0,1.077593,1.387727,1.495405
1000,human,5,128,0,1.067495,1.675950,1.789068
1000,lm,0,42,0,1.270862,0.909247,1.155527
1001,human,0,43,0,1.126981,1.724144,1.943077
1001,lm,0,72,0,1.305500,0.989654,1.291994
1002,human,0,40,0,1.271359,1.166510,1.483053
1002,lm,0,83,0,1.738636,0.494847,0.860358
