line_num,human_npr,lm_npr,winner,human_n_chunks_scored,lm_n_chunks_scored,human_n_lowconf,lm_n_lowconf
1,1.502623,1.825180,MGC,1,1,0,0
10,1.237286,1.151282,HWC,1,1,0,0
100,1.227080,1.074955,HWC,1,1,0,0
1000,1.394653,1.259387,HWC,1,1,0,0
1001,1.299150,1.618146,MGC,1,1,0,0
1002,1.501963,1.165444,HWC,1,1,0,0
1003,1.109664,1.137350,MGC,1,1,0,0
1004,1.936006,1.673744,HWC,1,1,0,0
1006,1.572678,1.649282,MGC,1,1,0,0
1007,1.540592,1.073461,HWC,1,1,0,0
1008,1.214276,1.242777,MGC,1,1,0,0
101,1.339953,1.736875,MGC,1,2,0,0
1011,1.255017,1.291709,MGC,1,1,0,0
1012,1.242900,1.378216,MGC,1,1,0,0
1013,1.409486,2.133857,MGC,3,2,0,0
1014,1.378998,1.540662,MGC,1,1,0,0
1015,1.205120,1.576265,MGC,4,2,0,0
1016,1.543948,1.243205,HWC,1,1,0,0
1017,1.102647,1.164289,MGC,1,1,0,0
102,1.322131,1.680767,MGC,2,1,0,0
1023,1.310393,1.918378,MGC,3,1,0,0
1026,1.302726,1.186677,HWC,1,1,0,0
1027,1.485502,1.366570,HWC,1,1,0,0
1028,1.739430,1.181596,HWC,1,1,0,0
1030,1.328724,3.011127,MGC,4,3,0,0
1033,1.417211,1.425380,MGC,1,1,0,0
1038,1.264401,1.838669,MGC,3,2,0,0
1039,1.351349,1.423275,MGC,1,1,0,0
104,1.622281,1.221667,HWC,1,1,0,0
1040,1.545744,1.392788,HWC,2,1,0,0
1041,1.311615,2.640960,MGC,2,2,0,0
1046,1.334731,1.059344,HWC,1,1,0,0
1047,1.224486,1.165115,HWC,1,1,0,0
105,1.230250,1.042998,HWC,1,1,0,0
1051,1.457409,1.297854,HWC,1,1,0,0
1052,1.290848,1.507408,MGC,1,1,0,0
1054,1.417432,1.299189,HWC,3,1,0,0
1055,1.331547,1.565032,MGC,1,1,0,0
1056,1.384512,1.449626,MGC,1,1,0,0
1059,1.343747,1.178324,HWC,1,1,0,0
1063,1.241684,1.868340,MGC,1,1,0,0
1064,1.535798,1.432523,HWC,1,1,0,0
1066,1.447636,1.310588,HWC,1,1,0,0
1068,1.249620,1.240858,HWC,1,1,0,0
1069,1.380230,1.562796,MGC,1,1,0,0
107,1.110677,0.941632,HWC,1,3,0,0
1070,1.210705,1.354605,MGC,1,1,0,0
1071,1.342511,1.607999,MGC,3,3,0,0
1073,1.271128,1.366219,MGC,1,1,0,0
1076,1.278813,1.545919,MGC,1,1,0,0
1077,1.635523,1.687119,MGC,2,1,0,0
