line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1,human,0,44,0,1.486635,1.440740,2.141854
1,lm,0,124,0,1.816242,0.282823,0.513676
10,human,0,28,0,1.235783,0.848674,1.048777
10,lm,0,10,0,1.160188,2.050018,2.378407
100,human,0,37,0,1.235199,1.157509,1.429754
100,lm,0,7,0,1.078326,2.705886,2.917828
1000,human,0,49,0,1.388870,1.043026,1.448627
1000,lm,0,12,0,1.236219,1.143679,1.413837
1001,human,0,61,0,1.301746,0.984571,1.281661
1001,lm,0,107,0,1.658499,0.665855,1.104320
1002,human,0,90,0,1.494880,0.366673,0.548132
1002,lm,0,25,0,1.160161,0.553301,0.641918
1003,human,0,13,0,1.105688,0.979633,1.083169
1003,lm,0,14,0,1.125721,1.364480,1.536024
1004,human,0,67,0,1.934778,0.461379,0.892666
1004,lm,0,32,0,1.681940,0.568942,0.956927
1006,human,0,64,0,1.555268,0.541831,0.842692
1006,lm,0,50,0,1.677627,0.560377,0.940103
1007,human,0,66,0,1.564472,0.660976,1.034079
1007,lm,0,7,0,1.068709,2.330197,2.490302
1008,human,0,13,0,1.227743,0.676213,0.830216
1008,lm,0,4,0,1.231863,0.999388,1.231109
101,human,0,88,0,1.342433,0.935728,1.256152
101,lm,0,128,0,1.910584,0.335256,0.640534
101,lm,1,123,0,1.556795,0.463093,0.720940
1011,human,0,33,0,1.247683,0.635819,0.793300
1011,lm,0,18,0,1.308700,0.685988,0.897752
1012,human,0,31,0,1.238182,0.938544,1.162088
1012,lm,0,11,0,1.381133,0.511556,0.706527
1013,human,0,128,0,1.523931,0.413468,0.630096
1013,human,1,128,0,1.306166,0.809103,1.056822
1013,human,2,26,0,1.366999,0.929027,1.269979
1013,lm,0,128,0,2.302186,0.259157,0.596628
1013,lm,1,23,0,1.312406,0.819404,1.075391
1014,human,0,46,0,1.385126,0.771467,1.068579
1014,lm,0,35,0,1.535123,0.501417,0.769736
1015,human,0,128,0,1.268863,1.174049,1.489707
1015,human,1,128,0,1.235699,1.780236,2.199836
1015,human,2,128,0,1.153709,1.217604,1.404761
1015,human,3,70,0,1.120376,2.159628,2.419596
1015,lm,0,128,0,1.615772,0.614840,0.993441
1015,lm,1,10,0,1.035819,2.908006,3.012167
1016,human,0,87,0,1.560939,0.567833,0.886353
1016,lm,0,10,0,1.238492,1.053932,1.305287
1017,human,0,20,0,1.107055,1.544995,1.710395
1017,lm,0,16,0,1.146295,1.883915,2.159523
102,human,0,128,0,1.355216,0.886056,1.200797
102,human,1,95,0,1.264925,1.087905,1.376118
102,lm,0,81,0,1.649384,0.605058,0.997974
1021,human,0,128,0,1.219123,1.167354,1.423148
1021,human,1,128,0,1.281483,0.958561,1.228379
1021,human,2,128,0,1.418318,0.677019,0.960229
1021,human,3,128,0,2.197837,0.253875,0.557976
1021,human,4,128,0,1.485686,0.583785,0.867322
1021,human,5,128,0,1.152438,1.824713,2.102869
1021,human,6,68,0,1.404620,1.313266,1.844640
1023,human,0,128,0,1.380896,0.850460,1.174398
1023,human,1,128,0,1.208810,1.303972,1.576255
1023,human,2,50,0,1.399952,1.074528,1.504287
1023,lm,0,97,0,1.937905,0.457416,0.886429
1026,human,0,38,0,1.286697,1.186052,1.526089
1026,lm,0,19,0,1.185794,1.473042,1.746725
1027,human,0,111,0,1.479268,0.559413,0.827521
1027,lm,0,19,0,1.343692,0.549223,0.737987
1028,human,0,58,0,1.707954,0.730839,1.248240
1028,lm,0,15,0,1.197009,1.007051,1.205449
1030,human,0,128,0,1.438068,0.567721,0.816422
1030,human,1,128,0,1.231882,0.810633,0.998604
1030,human,2,128,0,1.351015,0.720840,0.973866
1030,human,3,44,0,1.274043,1.675286,2.134388
1030,lm,0,128,0,3.373410,0.088722,0.299295
1030,lm,1,128,0,2.673042,0.116472,0.311335
1030,lm,2,6,0,1.126114,4.563724,5.139274
1033,human,0,43,0,1.405048,0.539997,0.758722
1033,lm,0,21,0,1.432196,0.728408,1.043223
1038,human,0,128,0,1.318344,0.748746,0.987105
1038,human,1,128,0,1.250634,0.795098,0.994376
1038,human,2,34,0,1.158419,1.245905,1.443280
1038,lm,0,128,0,1.886729,0.315190,0.594679
1038,lm,1,4,0,0.968012,2.799828,2.710266
1039,human,0,35,0,1.346427,0.669915,0.901992
1039,lm,0,31,0,1.442903,0.807862,1.165666
104,human,0,84,0,1.604336,0.486028,0.779752
104,lm,0,43,0,1.256352,1.185512,1.489420
1040,human,0,128,0,1.549976,0.258054,0.399977
1040,human,1,1,0,1.000000,4.004251,4.004251
1040,lm,0,20,0,1.395464,0.536605,0.748813
1041,human,0,128,0,1.385000,0.532335,0.737285
1041,human,1,68,0,1.193299,1.033763,1.233589
1041,lm,0,128,0,2.830566,0.140159,0.396730
1041,lm,1,19,0,1.300776,0.971551,1.263770
1046,human,0,67,0,1.331433,1.001589,1.333549
1046,lm,0,11,0,1.059449,1.915316,2.029179
1047,human,0,77,0,1.230214,1.247667,1.534897
1047,lm,0,27,0,1.173534,1.658704,1.946545
105,human,0,53,0,1.238567,1.010370,1.251411
105,lm,0,11,0,1.042119,2.339339,2.437868
1051,human,0,87,0,1.461875,0.808394,1.181770
1051,lm,0,29,0,1.283074,1.016176,1.303829
1052,human,0,65,0,1.305617,0.955342,1.247311
1052,lm,0,44,0,1.507815,1.060109,1.598449
1054,human,0,128,0,1.411563,0.814351,1.149508
1054,human,1,128,0,1.442173,0.620281,0.894553
1054,human,2,47,0,1.351933,0.958363,1.295642
1054,lm,0,26,0,1.302543,0.914159,1.190732
1055,human,0,55,0,1.335563,1.201371,1.604507
1055,lm,0,79,0,1.565098,0.744231,1.164794
1056,human,0,103,0,1.395003,0.688870,0.960976
1056,lm,0,31,0,1.459059,0.816166,1.190835
1057,human,0,42,0,1.599309,0.509477,0.814812
1059,human,0,42,0,1.325350,0.874771,1.159379
1059,lm,0,11,0,1.142587,1.543853,1.763986
1063,human,0,126,0,1.230059,0.776648,0.955323
1063,lm,0,118,0,1.855378,0.388740,0.721260
1064,human,0,51,0,1.521709,0.458448,0.697624
1064,lm,0,20,0,1.467909,0.730212,1.071884
1066,human,0,125,0,1.440847,0.966504,1.392584
1066,lm,0,47,0,1.299492,1.354812,1.760566
1068,human,0,118,0,1.251498,0.944534,1.182083
1068,lm,0,17,0,1.220078,1.358561,1.657550
1069,human,0,36,0,1.371918,0.705677,0.968131
1069,lm,0,33,0,1.571363,0.480484,0.755015
107,human,0,116,0,1.113686,1.518663,1.691313
107,lm,0,128,0,0.986395,2.926831,2.887011
107,lm,1,128,0,0.912412,3.769419,3.439264
107,lm,2,81,0,0.911366,3.579470,3.262208
1070,human,0,67,0,1.214328,1.060203,1.287434
1070,lm,0,87,0,1.353981,0.622467,0.842808
1071,human,0,128,0,1.301797,1.005709,1.309229
1071,human,1,128,0,1.386689,0.626257,0.868424
1071,human,2,19,0,1.191242,1.510151,1.798955
1071,lm,0,128,0,1.769952,0.422832,0.748392
1071,lm,1,128,0,1.648867,0.753634,1.242642
1071,lm,2,108,0,1.380373,0.864364,1.193145
1073,human,0,32,0,1.272719,0.746907,0.950602
1073,lm,0,22,0,1.358429,0.764409,1.038395
1076,human,0,96,0,1.272458,1.051798,1.338369
1076,lm,0,32,0,1.544459,0.853245,1.317802
1077,human,0,128,0,1.623961,0.648558,1.053233
1077,human,1,3,0,1.588908,1.276214,2.027787
1077,lm,0,57,0,1.683244,0.591837,0.996206
1079,human,0,46,0,1.287442,0.527294,0.678861
1079,lm,0,62,0,1.991153,0.252207,0.502183
1081,human,0,128,0,1.593541,0.401439,0.639710
1081,human,1,1,0,1.000000,4.141603,4.141603
1081,lm,0,14,0,1.374898,0.666943,0.916979
1082,human,0,13,0,1.072086,1.911899,2.049721
1082,lm,0,12,0,1.128646,1.671456,1.886482
1083,human,0,128,0,1.264154,1.202796,1.520520
1083,human,1,128,0,1.254236,1.294160,1.623181
1083,human,2,128,0,1.206144,1.204400,1.452679
1083,human,3,128,0,1.295549,1.341824,1.738399
1083,human,4,128,0,1.174032,1.625336,1.908197
1083,human,5,128,0,1.265322,1.624904,2.056028
1083,human,6,110,0,1.264423,1.205397,1.524132
1083,lm,0,128,0,1.747817,0.605541,1.058375
1083,lm,1,128,0,1.864695,0.408300,0.761354
1083,lm,2,128,0,1.976936,0.368954,0.729398
1083,lm,3,128,0,1.797021,0.432106,0.776504
1083,lm,4,128,0,1.644604,0.504934,0.830417
1083,lm,5,128,0,1.956764,0.365549,0.715293
1083,lm,6,111,0,1.998118,0.450965,0.901080
1084,human,0,128,0,1.231980,1.061648,1.307929
1084,human,1,128,0,1.406792,0.943437,1.327220
1084,human,2,128,0,1.191747,1.270917,1.514612
1084,human,3,128,0,1.189333,1.384333,1.646433
1084,human,4,128,0,1.164182,1.147776,1.336220
1084,human,5,27,0,1.155118,1.592433,1.839448
1085,human,0,128,0,1.206523,0.997474,1.203475
1085,human,1,128,0,1.196205,1.242850,1.486703
1085,human,2,58,0,1.188430,1.298296,1.542934
1085,lm,0,42,0,1.400737,0.813882,1.140035
1086,human,0,128,0,1.338146,0.595523,0.796896
1086,human,1,121,0,1.256842,0.758875,0.953785
1086,lm,0,28,0,1.292646,0.920307,1.189631
109,human,0,104,0,1.374122,0.964916,1.325912
109,lm,0,36,0,1.524465,0.774925,1.181347
1090,human,0,64,0,1.451495,0.575743,0.835689
1090,lm,0,12,0,1.140224,1.340662,1.528656
1092,human,0,43,0,1.645930,0.368129,0.605915
1092,lm,0,25,0,1.593597,0.473899,0.755204
1093,human,0,128,0,2.190431,0.317315,0.695057
1093,human,1,45,0,1.335971,0.997287,1.332347
1093,lm,0,62,0,2.308339,0.371189,0.856830
1095,human,0,83,0,1.428600,0.648196,0.926012
1095,lm,0,21,0,1.446982,0.499184,0.722310
1096,human,0,128,0,1.297231,0.673239,0.873347
1096,human,1,128,0,1.227669,0.775388,0.951920
1096,human,2,6,0,1.067361,2.317549,2.473662
1096,lm,0,127,0,1.768467,0.290406,0.513574
1097,human,0,120,0,1.394076,0.677250,0.944138
1097,lm,0,10,0,1.150114,0.948026,1.090337
11,human,0,22,0,1.162242,1.191403,1.384699
11,lm,0,11,0,1.106150,1.883285,2.083196
110,human,0,35,0,1.569949,0.436329,0.685015
110,lm,0,128,0,2.852293,0.111572,0.318236
110,lm,1,58,0,1.728577,0.214023,0.369956
1100,human,0,106,0,1.387263,0.627475,0.870473
1100,lm,0,24,0,1.269438,0.961716,1.220839
1101,human,0,66,0,1.697545,0.822385,1.396035
1101,lm,0,13,0,1.267219,1.040526,1.318575
1104,human,0,124,0,1.491365,0.427288,0.637243
1104,lm,0,128,0,2.555392,0.164792,0.421108
1104,lm,1,128,0,1.845330,0.280355,0.517347
1104,lm,2,97,0,1.941868,0.239087,0.464276
1105,human,0,32,0,1.270698,1.315658,1.671805
1109,human,0,120,0,1.633560,0.463171,0.756617
1109,lm,0,34,0,1.614812,0.619569,1.000487
111,human,0,15,0,1.088576,1.295079,1.409792
111,lm,0,82,0,1.418758,0.509417,0.722740
1110,human,0,64,0,1.532322,0.537658,0.823865
1110,lm,0,10,0,1.120716,1.420361,1.591822
1111,human,0,55,0,1.251507,1.008549,1.262207
