line_num,human_npr,lm_npr,winner,human_n_chunks_scored,lm_n_chunks_scored,human_n_lowconf,lm_n_lowconf
1589,1.127908,1.951028,MGC,1,1,0,0
4220,1.738463,2.049234,MGC,1,2,0,0
6556,1.716571,1.691820,HWC,2,2,0,0
397,1.554660,1.794854,MGC,1,2,0,0
4111,1.355723,2.424945,MGC,1,2,0,0
4458,1.309827,1.594549,MGC,5,2,0,0
6132,1.565251,1.859528,MGC,1,3,0,0
6173,1.464235,2.227814,MGC,1,1,0,0
6641,1.367723,1.490271,MGC,2,2,0,0
4778,1.541299,1.860766,MGC,3,4,0,0
5908,1.261686,2.036121,MGC,1,1,0,0
2546,1.431859,1.845214,MGC,1,1,0,0
5011,1.650517,1.237704,HWC,1,1,0,0
1134,1.369243,1.704564,MGC,2,1,0,0
4173,1.231225,1.844319,MGC,1,2,0,0
5190,1.571779,1.742264,MGC,1,1,0,0
1383,1.145274,1.508035,MGC,1,1,0,0
3710,1.374481,1.809791,MGC,1,1,0,0
3411,1.516009,2.268277,MGC,1,1,0,0
2915,1.123379,1.846827,MGC,1,2,0,0
5535,1.529520,1.984626,MGC,2,1,0,0
6799,2.098078,2.283562,MGC,1,2,0,0
381,1.768400,1.702871,HWC,1,3,0,0
6924,1.333807,1.599785,MGC,2,2,0,0
1420,1.143036,1.376671,MGC,6,1,0,0
4724,1.666449,1.679963,MGC,2,2,0,0
5662,1.262388,1.882046,MGC,1,2,0,0
4403,1.564848,1.454557,HWC,3,2,0,0
4652,1.339170,1.556037,MGC,1,1,0,0
4562,1.667904,1.839287,MGC,1,2,0,0
2450,1.878104,1.518269,HWC,1,2,0,0
6682,1.270713,1.935610,MGC,2,1,0,0
3081,1.271940,1.602241,MGC,1,2,0,0
6208,1.372439,1.838711,MGC,1,1,0,0
1257,1.180292,1.368989,MGC,1,1,0,0
3120,1.247362,1.583344,MGC,1,2,0,0
1930,1.492708,1.843822,MGC,2,1,0,0
2946,1.147601,1.684229,MGC,1,1,0,0
6959,1.414022,1.765010,MGC,2,2,0,0
4162,1.636476,1.818233,MGC,1,1,0,0
5319,1.279882,1.807409,MGC,1,3,0,0
5176,1.321695,1.706606,MGC,1,1,0,0
1422,1.289478,1.491281,MGC,2,1,0,0
2846,1.187398,2.091904,MGC,1,1,0,0
2807,1.348475,1.696623,MGC,2,4,0,0
6606,1.354925,1.922665,MGC,3,2,0,0
6123,1.270204,1.341841,MGC,1,1,0,0
6441,1.479595,1.652439,MGC,1,2,0,0
4391,1.210848,1.723415,MGC,1,1,0,0
888,1.487535,1.791331,MGC,1,1,0,0
