line_num,human_npr,lm_npr,winner,human_n_chunks_scored,lm_n_chunks_scored,human_n_lowconf,lm_n_lowconf
1,1.486635,1.816242,MGC,1,1,0,0
10,1.235783,1.160188,HWC,1,1,0,0
100,1.235199,1.078326,HWC,1,1,0,0
1000,1.388870,1.236219,HWC,1,1,0,0
1001,1.301746,1.658499,MGC,1,1,0,0
1002,1.494880,1.160161,HWC,1,1,0,0
1003,1.105688,1.125721,MGC,1,1,0,0
1004,1.934778,1.681940,HWC,1,1,0,0
1006,1.555268,1.677627,MGC,1,1,0,0
1007,1.564472,1.068709,HWC,1,1,0,0
1008,1.227743,1.231863,MGC,1,1,0,0
101,1.342433,1.737213,MGC,1,2,0,0
1011,1.247683,1.308700,MGC,1,1,0,0
1012,1.238182,1.381133,MGC,1,1,0,0
1013,1.410618,2.151425,MGC,3,2,0,0
1014,1.385126,1.535123,MGC,1,1,0,0
1015,1.204152,1.573746,MGC,4,2,0,0
1016,1.560939,1.238492,HWC,1,1,0,0
1017,1.107055,1.146295,MGC,1,1,0,0
102,1.316751,1.649384,MGC,2,1,0,0
1021,1.454712,nan,HWC,7,0,0,0
1023,1.312026,1.937905,MGC,3,1,0,0
1026,1.286697,1.185794,HWC,1,1,0,0
1027,1.479268,1.343692,HWC,1,1,0,0
1028,1.707954,1.197009,HWC,1,1,0,0
1030,1.333508,2.979780,MGC,4,3,0,0
1033,1.405048,1.432196,MGC,1,1,0,0
1038,1.269708,1.858889,MGC,3,2,0,0
1039,1.346427,1.442903,MGC,1,1,0,0
104,1.604336,1.256352,HWC,1,1,0,0
1040,1.545713,1.395464,HWC,2,1,0,0
1041,1.318492,2.632838,MGC,2,2,0,0
1046,1.331433,1.059449,HWC,1,1,0,0
1047,1.230214,1.173534,HWC,1,1,0,0
105,1.238567,1.042119,HWC,1,1,0,0
1051,1.461875,1.283074,HWC,1,1,0,0
1052,1.305617,1.507815,MGC,1,1,0,0
1054,1.415245,1.302543,HWC,3,1,0,0
1055,1.335563,1.565098,MGC,1,1,0,0
1056,1.395003,1.459059,MGC,1,1,0,0
1057,1.599309,nan,HWC,1,0,0,0
1059,1.325350,1.142587,HWC,1,1,0,0
1063,1.230059,1.855378,MGC,1,1,0,0
1064,1.521709,1.467909,HWC,1,1,0,0
1066,1.440847,1.299492,HWC,1,1,0,0
1068,1.251498,1.220078,HWC,1,1,0,0
1069,1.371918,1.571363,MGC,1,1,0,0
107,1.113686,0.940261,HWC,1,3,0,0
1070,1.214328,1.353981,MGC,1,1,0,0
1071,1.333672,1.611783,MGC,3,3,0,0
1073,1.272719,1.358429,MGC,1,1,0,0
1076,1.272458,1.544459,MGC,1,1,0,0
1077,1.623158,1.683244,MGC,2,1,0,0
1079,1.287442,1.991153,MGC,1,1,0,0
1081,1.588940,1.374898,HWC,2,1,0,0
1082,1.072086,1.128646,MGC,1,1,0,0
1083,1.245894,1.852371,MGC,7,7,0,0
1084,1.233500,nan,HWC,6,0,0,0
1085,1.198975,1.400737,MGC,3,1,0,0
1086,1.298637,1.292646,HWC,2,1,0,0
109,1.374122,1.524465,MGC,1,1,0,0
1090,1.451495,1.140224,HWC,1,1,0,0
1092,1.645930,1.593597,HWC,1,1,0,0
1093,1.968172,2.308339,MGC,2,1,0,0
1095,1.428600,1.446982,MGC,1,1,0,0
1096,1.257982,1.768467,MGC,3,1,0,0
1097,1.394076,1.150114,HWC,1,1,0,0
11,1.162242,1.106150,HWC,1,1,0,0
110,1.569949,2.501887,MGC,1,2,0,0
1100,1.387263,1.269438,HWC,1,1,0,0
1101,1.697545,1.267219,HWC,1,1,0,0
1104,1.491365,2.129330,MGC,1,3,0,0
1105,1.270698,nan,HWC,1,0,0,0
1109,1.633560,1.614812,HWC,1,1,0,0
111,1.088576,1.418758,MGC,1,1,0,0
1110,1.532322,1.120716,HWC,1,1,0,0
1111,1.251507,1.844985,MGC,1,1,0,0
1112,1.356305,1.360828,MGC,1,1,0,0
1113,1.195684,1.550148,MGC,2,1,0,0
1114,1.331993,1.137248,HWC,3,1,0,0
1117,1.294582,1.666157,MGC,4,2,0,0
1120,1.226750,1.588107,MGC,3,2,0,0
1123,1.458043,1.447700,HWC,1,1,0,0
1124,1.180425,1.161350,HWC,1,1,0,0
1125,1.417171,1.453760,MGC,1,1,0,0
1126,1.279969,1.172838,HWC,1,1,0,0
1129,1.724707,1.142278,HWC,1,1,0,0
113,1.314180,1.737681,MGC,1,1,0,0
1130,1.330982,1.477013,MGC,1,1,0,0
1132,1.224933,1.229558,MGC,1,1,0,0
1133,1.216495,1.084493,HWC,1,1,0,0
1138,1.395327,1.902580,MGC,1,2,0,0
1139,1.385949,2.057101,MGC,1,1,0,0
1141,1.436731,1.614947,MGC,2,2,0,0
1142,1.212415,1.230369,MGC,1,1,0,0
1143,1.587677,1.449815,HWC,2,1,0,0
1144,1.088514,1.541089,MGC,1,1,0,0
1145,1.224281,1.481695,MGC,2,4,0,0
1146,1.599704,1.787560,MGC,1,1,0,0
1147,1.180934,1.216355,MGC,1,1,0,0
