line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
6524,human,0,25,0,1.098656,1.004093,1.103152
6524,lm,0,52,0,1.444125,0.536016,0.774074
1720,human,0,35,0,1.305184,0.582612,0.760415
1720,lm,0,10,0,1.070692,2.630410,2.816358
5870,human,0,128,0,1.379570,0.462490,0.638038
5870,human,1,15,0,1.094110,2.154015,2.356730
5870,lm,0,128,0,1.523789,0.375977,0.572910
5870,lm,1,37,0,1.065071,1.601617,1.705836
7511,human,0,24,0,1.252553,0.726245,0.909661
7511,lm,0,8,0,1.173828,0.894388,1.049858
7256,human,0,69,0,1.195292,0.687034,0.821206
7256,lm,0,10,0,1.223626,1.606547,1.965813
2531,human,0,21,0,1.074865,1.571349,1.688987
2531,lm,0,10,0,1.054455,2.448270,2.581590
7570,human,0,37,0,1.196677,0.859667,1.028743
7570,lm,0,10,0,1.050374,3.292140,3.457980
2266,human,0,128,0,1.147814,0.760958,0.873438
2266,human,1,64,0,1.016379,1.038339,1.055346
2266,lm,0,50,0,1.325182,0.546871,0.724703
2017,human,0,43,0,1.279441,0.874308,1.118625
2017,lm,0,128,0,1.668063,0.289981,0.483707
2017,lm,1,128,0,1.380473,0.424508,0.586022
2017,lm,2,128,0,1.467798,0.364265,0.534667
2017,lm,3,128,0,1.429281,0.402317,0.575024
2017,lm,4,128,0,1.387698,0.430269,0.597084
2017,lm,5,65,0,1.210444,0.727460,0.880550
4859,human,0,128,0,1.243933,0.555013,0.690399
4859,human,1,30,0,1.016007,1.280537,1.301035
4859,lm,0,128,0,1.932799,0.195926,0.378686
4859,lm,1,33,0,1.211447,0.629466,0.762565
5969,human,0,93,0,1.156350,0.937404,1.083967
5969,lm,0,128,0,1.830067,0.163900,0.299948
5969,lm,1,128,0,1.946723,0.135630,0.264035
5969,lm,2,51,0,1.512418,0.315511,0.477184
4315,human,0,128,0,1.174391,0.865003,1.015852
4315,human,1,100,0,1.235747,0.715783,0.884527
4315,lm,0,26,0,1.270564,0.652201,0.828663
50,human,0,125,0,1.063593,0.677472,0.720555
50,lm,0,10,0,1.029371,3.253806,3.349374
6995,human,0,66,0,1.229768,0.644118,0.792115
6995,lm,0,12,0,1.150938,2.059956,2.370881
7257,human,0,128,0,1.325263,0.617212,0.817968
7257,human,1,128,0,1.205080,0.889539,1.071966
7257,human,2,128,0,1.160513,0.778118,0.903016
7257,human,3,3,0,1.017697,3.212998,3.269859
7257,lm,0,128,0,1.867886,0.131802,0.246191
7257,lm,1,17,0,1.321240,0.491912,0.649934
4900,human,0,100,0,1.229517,0.977832,1.202261
4900,lm,0,27,0,1.175816,1.131349,1.330259
1292,human,0,128,0,1.256222,0.554216,0.696218
1292,human,1,128,0,1.026745,0.808188,0.829803
1292,human,2,128,0,1.077265,0.753055,0.811241
1292,human,3,128,0,1.180978,0.736852,0.870206
1292,human,4,13,0,1.129579,1.813034,2.047965
