line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1,human,0,25,0,1.029026,4.573545,4.706295
1,lm,0,20,0,1.027746,6.102360,6.271679
10,human,0,128,0,1.077121,4.856807,5.231367
10,human,1,38,0,1.036339,6.475193,6.710495
10,lm,0,57,0,1.108099,4.582610,5.077985
100,human,0,46,0,1.060779,5.810402,6.163552
100,lm,0,25,0,1.031273,7.643285,7.882312
1000,human,0,128,0,1.245680,3.672230,4.574425
1000,human,1,71,0,1.059801,4.910938,5.204620
1000,lm,0,126,0,1.185031,3.218576,3.814113
1004,human,0,95,0,1.071803,3.983384,4.269401
1004,lm,0,74,0,1.270627,2.862058,3.636610
