line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1589,human,0,41,0,1.127073,1.641530,1.850124
1589,lm,0,95,0,1.892807,0.350176,0.662816
4220,human,0,125,0,1.730667,0.477248,0.825957
4220,lm,0,128,0,2.101039,0.314689,0.661174
4220,lm,1,41,0,1.753279,0.664999,1.165929
6556,human,0,128,0,1.970042,0.324178,0.638644
6556,human,1,109,0,1.414997,0.599906,0.848866
6556,lm,0,128,0,1.791168,0.541953,0.970729
6556,lm,1,73,0,1.516742,0.787624,1.194623
397,human,0,84,0,1.550811,0.795004,1.232901
397,lm,0,128,0,1.858452,0.363092,0.674789
397,lm,1,56,0,1.708561,0.733337,1.252952
4111,human,0,60,0,1.350777,0.842372,1.137857
4111,lm,0,128,0,2.670344,0.165504,0.441952
4111,lm,1,29,0,1.316080,1.466511,1.930045
