line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
10,human,0,87,0,1.652500,0.530827,0.877191
10,lm,0,78,0,2.026036,0.331702,0.672041
100,human,0,49,0,1.380743,0.893220,1.233307
100,lm,0,13,0,1.126217,1.402462,1.579476
1000,human,0,128,0,1.151706,1.320271,1.520564
1000,human,1,128,0,1.331748,1.080899,1.439484
1000,human,2,128,0,1.177864,1.104322,1.300740
1000,human,3,128,0,1.063156,2.064762,2.195165
1000,human,4,128,0,1.096225,1.389630,1.523348
1000,human,5,128,0,1.067001,1.679258,1.791769
1000,lm,0,42,0,1.264443,0.912884,1.154290
1001,human,0,43,0,1.124915,1.719277,1.934040
1001,lm,0,72,0,1.334167,0.982066,1.310240
1002,human,0,40,0,1.260689,1.168328,1.472898
1002,lm,0,83,0,1.746558,0.494960,0.864476
