line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1,human,0,44,0,1.469442,1.440740,2.117084
1,lm,0,124,0,1.845650,0.282823,0.521993
10,human,0,28,0,1.239099,0.848674,1.051591
10,lm,0,10,0,1.180969,2.050018,2.421008
100,human,0,37,0,1.228856,1.157509,1.422412
100,lm,0,7,0,1.065107,2.705886,2.882058
1000,human,0,49,0,1.350747,1.043026,1.408864
1000,lm,0,12,0,1.247130,1.143679,1.426315
1001,human,0,61,0,1.307070,0.984571,1.286903
1001,lm,0,107,0,1.633793,0.665855,1.087870
1002,human,0,90,0,1.494666,0.366673,0.548054
1002,lm,0,25,0,1.172572,0.553301,0.648785
1003,human,0,13,0,1.122092,0.979633,1.099239
1003,lm,0,14,0,1.136463,1.364480,1.550682
1004,human,0,67,0,1.896582,0.461379,0.875043
1004,lm,0,32,0,1.649780,0.568942,0.938629
1006,human,0,64,0,1.534961,0.541831,0.831689
1006,lm,0,50,0,1.676920,0.560377,0.939707
1007,human,0,66,0,1.572492,0.660976,1.039380
1007,lm,0,7,0,1.097828,2.330197,2.558156
1008,human,0,13,0,1.228069,0.676213,0.830436
1008,lm,0,4,0,1.238334,0.999388,1.237576
101,human,0,88,0,1.332443,0.935728,1.246804
101,lm,0,128,0,1.942991,0.335256,0.651399
101,lm,1,123,0,1.573067,0.463093,0.728476
1011,human,0,33,0,1.254662,0.635819,0.797738
1011,lm,0,18,0,1.316623,0.685988,0.903187
1012,human,0,31,0,1.221206,0.938544,1.146156
1012,lm,0,11,0,1.368592,0.511556,0.700112
1013,human,0,128,0,1.519651,0.413468,0.628327
1013,human,1,128,0,1.310985,0.809103,1.060721
1013,human,2,26,0,1.369007,0.929027,1.271844
1013,lm,0,128,0,2.277956,0.259157,0.590348
1013,lm,1,23,0,1.319272,0.819404,1.081017
1014,human,0,46,0,1.379598,0.771467,1.064314
1014,lm,0,35,0,1.523530,0.501417,0.763924
1015,human,0,128,0,1.266057,1.174049,1.486413
1015,human,1,128,0,1.234089,1.780236,2.196970
1015,human,2,128,0,1.149468,1.217604,1.399597
1015,human,3,70,0,1.109261,2.159628,2.395591
1015,lm,0,128,0,1.608480,0.614840,0.988958
1015,lm,1,10,0,1.036126,2.908006,3.013062
1016,human,0,87,0,1.558579,0.567833,0.885013
1016,lm,0,10,0,1.243639,1.053932,1.310710
1017,human,0,20,0,1.103250,1.544995,1.704516
1017,lm,0,16,0,1.178979,1.883915,2.221097
102,human,0,128,0,1.355438,0.886056,1.200994
102,human,1,95,0,1.266416,1.087905,1.377740
102,lm,0,81,0,1.658443,0.605058,1.003455
1021,human,0,128,0,1.220437,1.167354,1.424682
1021,human,1,128,0,1.276743,0.958561,1.223836
1021,human,2,128,0,1.423483,0.677019,0.963725
1021,human,3,128,0,2.159284,0.253875,0.548189
1021,human,4,128,0,1.487937,0.583785,0.868635
1021,human,5,128,0,1.148808,1.824713,2.096244
1021,human,6,68,0,1.385403,1.313266,1.819403
1023,human,0,128,0,1.378833,0.850460,1.172643
1023,human,1,128,0,1.204295,1.303972,1.570366
1023,human,2,50,0,1.414469,1.074528,1.519887
1023,lm,0,97,0,1.891859,0.457416,0.865367
1026,human,0,38,0,1.308222,1.186052,1.551619
1026,lm,0,19,0,1.165888,1.473042,1.717402
1027,human,0,111,0,1.488689,0.559413,0.832791
1027,lm,0,19,0,1.326247,0.549223,0.728405
1028,human,0,58,0,1.763889,0.730839,1.289119
1028,lm,0,15,0,1.181956,1.007051,1.190291
1030,human,0,128,0,1.430370,0.567721,0.812052
1030,human,1,128,0,1.238906,0.810633,1.004298
1030,human,2,128,0,1.346508,0.720840,0.970616
1030,human,3,44,0,1.277224,1.675286,2.139716
1030,lm,0,128,0,3.431068,0.088722,0.304411
1030,lm,1,128,0,2.663202,0.116472,0.310188
1030,lm,2,6,0,1.096798,4.563724,5.005482
1033,human,0,43,0,1.417829,0.539997,0.765624
1033,lm,0,21,0,1.437132,0.728408,1.046819
1038,human,0,128,0,1.313607,0.748746,0.983558
1038,human,1,128,0,1.253074,0.795098,0.996317
1038,human,2,34,0,1.174743,1.245905,1.463618
1038,lm,0,128,0,1.867345,0.315190,0.588569
1038,lm,1,4,0,0.964349,2.799828,2.700011
1039,human,0,35,0,1.333813,0.669915,0.893541
1039,lm,0,31,0,1.441678,0.807862,1.164677
104,human,0,84,0,1.603341,0.486028,0.779269
104,lm,0,43,0,1.218950,1.185512,1.445080
1040,human,0,128,0,1.564203,0.258054,0.403648
1040,human,1,1,0,1.000000,4.004251,4.004251
1040,lm,0,20,0,1.399788,0.536605,0.751133
1041,human,0,128,0,1.378171,0.532335,0.733649
1041,human,1,68,0,1.191356,1.033763,1.231580
1041,lm,0,128,0,2.845893,0.140159,0.398878
1041,lm,1,19,0,1.280352,0.971551,1.243927
1046,human,0,67,0,1.334321,1.001589,1.336441
1046,lm,0,11,0,1.078437,1.915316,2.065548
1047,human,0,77,0,1.230486,1.247667,1.535236
1047,lm,0,27,0,1.161422,1.658704,1.926455
105,human,0,53,0,1.227406,1.010370,1.240135
105,lm,0,11,0,1.058248,2.339339,2.475600
1051,human,0,87,0,1.468208,0.808394,1.186890
1051,lm,0,29,0,1.307848,1.016176,1.329004
1052,human,0,65,0,1.294791,0.955342,1.236968
1052,lm,0,44,0,1.498478,1.060109,1.588550
1054,human,0,128,0,1.416526,0.814351,1.153549
1054,human,1,128,0,1.425948,0.620281,0.884489
1054,human,2,47,0,1.358737,0.958363,1.302162
1054,lm,0,26,0,1.277531,0.914159,1.167867
1055,human,0,55,0,1.314766,1.201371,1.579522
1055,lm,0,79,0,1.536176,0.744231,1.143270
1056,human,0,103,0,1.389521,0.688870,0.957200
1056,lm,0,31,0,1.467671,0.816166,1.197863
1057,human,0,42,0,1.590058,0.509477,0.810098
1059,human,0,42,0,1.340941,0.874771,1.173017
1059,lm,0,11,0,1.162439,1.543853,1.794635
1063,human,0,126,0,1.235453,0.776648,0.959512
1063,lm,0,118,0,1.887879,0.388740,0.733895
1064,human,0,51,0,1.509867,0.458448,0.692195
1064,lm,0,20,0,1.451181,0.730212,1.059669
1066,human,0,125,0,1.440493,0.966504,1.392241
1066,lm,0,47,0,1.275721,1.354812,1.728362
1068,human,0,118,0,1.247819,0.944534,1.178608
1068,lm,0,17,0,1.170572,1.358561,1.590294
1069,human,0,36,0,1.392287,0.705677,0.982505
1069,lm,0,33,0,1.558240,0.480484,0.748710
107,human,0,116,0,1.110510,1.518663,1.686490
107,lm,0,128,0,0.984505,2.926831,2.881480
107,lm,1,128,0,0.916536,3.769419,3.454808
107,lm,2,81,0,0.912312,3.579470,3.265593
1070,human,0,67,0,1.200349,1.060203,1.272614
1070,lm,0,87,0,1.354048,0.622467,0.842850
1071,human,0,128,0,1.297508,1.005709,1.304916
1071,human,1,128,0,1.397694,0.626257,0.875316
1071,human,2,19,0,1.195527,1.510151,1.805426
1071,lm,0,128,0,1.747423,0.422832,0.738866
1071,lm,1,128,0,1.625068,0.753634,1.224706
1071,lm,2,108,0,1.393445,0.864364,1.204444
1073,human,0,32,0,1.269371,0.746907,0.948102
1073,lm,0,22,0,1.355175,0.764409,1.035908
1076,human,0,96,0,1.287101,1.051798,1.353770
1076,lm,0,32,0,1.536821,0.853245,1.311285
1077,human,0,128,0,1.613698,0.648558,1.046577
1077,human,1,3,0,1.581780,1.276214,2.018689
1077,lm,0,57,0,1.683648,0.591837,0.996445
1079,human,0,46,0,1.288341,0.527294,0.679335
1079,lm,0,62,0,2.043393,0.252207,0.515358
1081,human,0,128,0,1.610865,0.401439,0.646664
1081,human,1,1,0,1.000000,4.141603,4.141603
1081,lm,0,14,0,1.366894,0.666943,0.911640
1082,human,0,13,0,1.082867,1.911899,2.070332
1082,lm,0,12,0,1.130371,1.671456,1.889365
1083,human,0,128,0,1.265171,1.202796,1.521743
1083,human,1,128,0,1.258772,1.294160,1.629051
1083,human,2,128,0,1.204871,1.204400,1.451146
1083,human,3,128,0,1.299257,1.341824,1.743374
1083,human,4,128,0,1.152637,1.625336,1.873423
1083,human,5,128,0,1.253733,1.624904,2.037196
1083,human,6,110,0,1.265004,1.205397,1.524833
1083,lm,0,128,0,1.762196,0.605541,1.067082
1083,lm,1,128,0,1.845711,0.408300,0.753603
1083,lm,2,128,0,2.008950,0.368954,0.741210
1083,lm,3,128,0,1.807414,0.432106,0.780995
1083,lm,4,128,0,1.644908,0.504934,0.830571
1083,lm,5,128,0,1.984712,0.365549,0.725510
1083,lm,6,111,0,1.992649,0.450965,0.898614
1084,human,0,128,0,1.236539,1.061648,1.312770
1084,human,1,128,0,1.386379,0.943437,1.307962
1084,human,2,128,0,1.212543,1.270917,1.541042
1084,human,3,128,0,1.195082,1.384333,1.654392
1084,human,4,128,0,1.164046,1.147776,1.336064
1084,human,5,27,0,1.150698,1.592433,1.832410
1085,human,0,128,0,1.203337,0.997474,1.200297
1085,human,1,128,0,1.192622,1.242850,1.482250
1085,human,2,58,0,1.194500,1.298296,1.550814
1085,lm,0,42,0,1.404425,0.813882,1.143037
1086,human,0,128,0,1.339177,0.595523,0.797510
1086,human,1,121,0,1.258797,0.758875,0.955269
1086,lm,0,28,0,1.298500,0.920307,1.195019
109,human,0,104,0,1.388950,0.964916,1.340220
109,lm,0,36,0,1.518857,0.774925,1.177001
1090,human,0,64,0,1.474855,0.575743,0.849138
