line_num,role,chunk_idx,n_tokens,low_conf,npr,orig_logrank,mean_p_logrank
1,human,0,44,0,1.475999,1.440740,2.126530
1,lm,0,124,0,1.830160,0.282823,0.517612
10,human,0,28,0,1.234765,0.848674,1.047913
10,lm,0,10,0,1.169695,2.050018,2.397895
100,human,0,37,0,1.224376,1.157509,1.417226
100,lm,0,7,1,nan,nan,nan
1000,human,0,49,0,1.369950,1.043026,1.428893
1000,lm,0,12,0,1.258686,1.143679,1.439532
1001,human,0,61,0,1.291800,0.984571,1.271868
1001,lm,0,107,0,1.625538,0.665855,1.082373
1002,human,0,90,0,1.491623,0.366673,0.546938
1002,lm,0,25,0,1.174221,0.553301,0.649698
1003,human,0,13,0,1.107322,0.979633,1.084769
1003,lm,0,14,0,1.134577,1.364480,1.548108
1004,human,0,67,0,1.913887,0.461379,0.883028
1004,lm,0,32,0,1.650095,0.568942,0.938809
1006,human,0,64,0,1.546935,0.541831,0.838177
1006,lm,0,50,0,1.667801,0.560377,0.934597
1007,human,0,66,0,1.568035,0.660976,1.036434
1007,lm,0,7,1,nan,nan,nan
1008,human,0,13,0,1.232869,0.676213,0.833682
1008,lm,0,4,1,nan,nan,nan
101,human,0,88,0,1.325795,0.935728,1.240584
101,lm,0,128,0,1.897047,0.335256,0.635996
101,lm,1,123,0,1.563974,0.463093,0.724265
1011,human,0,33,0,1.254720,0.635819,0.797775
1011,lm,0,18,0,1.319418,0.685988,0.905105
1012,human,0,31,0,1.229827,0.938544,1.154246
1012,lm,0,11,0,1.381135,0.511556,0.706528
1013,human,0,128,0,1.511445,0.413468,0.624934
1013,human,1,128,0,1.302681,0.809103,1.054002
1013,human,2,26,0,1.364729,0.929027,1.267869
1013,lm,0,128,0,2.278779,0.259157,0.590561
1013,lm,1,23,0,1.304961,0.819404,1.069291
1014,human,0,46,0,1.383838,0.771467,1.067585
1014,lm,0,35,0,1.552980,0.501417,0.778690
1015,human,0,128,0,1.275086,1.174049,1.497013
1015,human,1,128,0,1.243650,1.780236,2.213991
1015,human,2,128,0,1.155544,1.217604,1.406996
1015,human,3,70,0,1.125722,2.159628,2.431140
1015,lm,0,128,0,1.616469,0.614840,0.993870
1015,lm,1,10,0,1.032100,2.908006,3.001355
1016,human,0,87,0,1.555818,0.567833,0.883445
1016,lm,0,10,0,1.262271,1.053932,1.330348
1017,human,0,20,0,1.106976,1.544995,1.710272
1017,lm,0,16,0,1.166073,1.883915,2.196783
102,human,0,128,0,1.357829,0.886056,1.203112
102,human,1,95,0,1.265614,1.087905,1.376867
102,lm,0,81,0,1.654036,0.605058,1.000789
1021,human,0,128,0,1.216179,1.167354,1.419711
1021,human,1,128,0,1.278833,0.958561,1.225840
1021,human,2,128,0,1.416764,0.677019,0.959177
1021,human,3,128,0,2.193538,0.253875,0.556885
1021,human,4,128,0,1.513863,0.583785,0.883771
1021,human,5,128,0,1.152207,1.824713,2.102447
1021,human,6,68,0,1.406764,1.313266,1.847456
1023,human,0,128,0,1.369127,0.850460,1.164388
1023,human,1,128,0,1.202984,1.303972,1.568658
1023,human,2,50,0,1.417762,1.074528,1.523424
1023,lm,0,97,0,1.929870,0.457416,0.882754
1026,human,0,38,0,1.294065,1.186052,1.534828
1026,lm,0,19,0,1.176643,1.473042,1.733244
1027,human,0,111,0,1.488532,0.559413,0.832704
1027,lm,0,19,0,1.375850,0.549223,0.755648
1028,human,0,58,0,1.701935,0.730839,1.243840
1028,lm,0,15,0,1.178302,1.007051,1.186610
1030,human,0,128,0,1.415571,0.567721,0.803650
1030,human,1,128,0,1.238816,0.810633,1.004225
1030,human,2,128,0,1.359258,0.720840,0.979807
1030,human,3,44,0,1.258106,1.675286,2.107688
1030,lm,0,128,0,3.459854,0.088722,0.306965
1030,lm,1,128,0,2.621096,0.116472,0.305284
1030,lm,2,6,1,nan,nan,nan
1033,human,0,43,0,1.416182,0.539997,0.764734
1033,lm,0,21,0,1.431961,0.728408,1.043052
1038,human,0,128,0,1.309345,0.748746,0.980367
1038,human,1,128,0,1.257914,0.795098,1.000165
1038,human,2,34,0,1.168761,1.245905,1.456165
1038,lm,0,128,0,1.881046,0.315190,0.592887
1038,lm,1,4,1,nan,nan,nan
1039,human,0,35,0,1.345442,0.669915,0.901332
1039,lm,0,31,0,1.453738,0.807862,1.174420
104,human,0,84,0,1.603414,0.486028,0.779304
104,lm,0,43,0,1.233928,1.185512,1.462836
1040,human,0,128,0,1.560369,0.258054,0.402659
1040,human,1,1,1,nan,nan,nan
1040,lm,0,20,0,1.399861,0.536605,0.751172
1041,human,0,128,0,1.387955,0.532335,0.738858
1041,human,1,68,0,1.193712,1.033763,1.234015
1041,lm,0,128,0,2.788201,0.140159,0.390792
1041,lm,1,19,0,1.315533,0.971551,1.278108
1046,human,0,67,0,1.321806,1.001589,1.323906
1046,lm,0,11,0,1.051864,1.915316,2.014652
1047,human,0,77,0,1.232367,1.247667,1.537583
1047,lm,0,27,0,1.170269,1.658704,1.941130
105,human,0,53,0,1.252383,1.010370,1.265371
105,lm,0,11,0,1.056187,2.339339,2.470780
1051,human,0,87,0,1.456446,0.808394,1.177382
1051,lm,0,29,0,1.299540,1.016176,1.320562
1052,human,0,65,0,1.285568,0.955342,1.228157
1052,lm,0,44,0,1.501306,1.060109,1.591548
1054,human,0,128,0,1.412910,0.814351,1.150604
1054,human,1,128,0,1.430591,0.620281,0.887369
1054,human,2,47,0,1.339203,0.958363,1.283442
1054,lm,0,26,0,1.285882,0.914159,1.175501
1055,human,0,55,0,1.312212,1.201371,1.576454
1055,lm,0,79,0,1.572998,0.744231,1.170674
1056,human,0,103,0,1.402544,0.688870,0.966171
1056,lm,0,31,0,1.449257,0.816166,1.182834
1057,human,0,42,0,1.604198,0.509477,0.817303
1059,human,0,42,0,1.350961,0.874771,1.181782
1059,lm,0,11,0,1.176605,1.543853,1.816505
1063,human,0,126,0,1.232749,0.776648,0.957412
1063,lm,0,118,0,1.869223,0.388740,0.726642
1064,human,0,51,0,1.537473,0.458448,0.704851
1064,lm,0,20,0,1.494299,0.730212,1.091154
1066,human,0,125,0,1.445498,0.966504,1.397079
1066,lm,0,47,0,1.314020,1.354812,1.780249
1068,human,0,118,0,1.260814,0.944534,1.190882
