line_num,human_npr,lm_npr,winner,human_n_chunks_scored,lm_n_chunks_scored,human_n_lowconf,lm_n_lowconf
1589,1.122745,1.930853,MGC,1,1,0,0
4220,1.687959,2.065707,MGC,1,2,0,0
6556,1.718329,1.677688,HWC,2,2,0,0
397,1.547395,1.787795,MGC,1,2,0,0
4111,1.362722,2.447869,MGC,1,2,0,0
4458,1.306386,1.584384,MGC,5,2,0,0
6132,1.544653,1.870198,MGC,1,3,0,0
6173,1.474530,2.238085,MGC,1,1,0,0
6641,1.362284,1.492170,MGC,2,2,0,0
4778,1.553531,1.838145,MGC,3,4,0,0
5908,1.279339,2.028494,MGC,1,1,0,0
2546,1.428875,1.866338,MGC,1,1,0,0
5011,1.650456,1.240509,HWC,1,1,0,0
1134,1.367586,1.721589,MGC,2,1,0,0
4173,1.229919,1.854437,MGC,1,2,0,0
5190,1.555591,1.738711,MGC,1,1,0,0
1383,1.128736,1.494288,MGC,1,1,0,0
3710,1.380531,1.850610,MGC,1,1,0,0
3411,1.544002,2.232193,MGC,1,1,0,0
2915,1.121838,1.821440,MGC,1,2,0,0
5535,1.537308,1.977566,MGC,2,1,0,0
6799,2.089388,2.254879,MGC,1,2,0,0
381,1.757326,1.705810,HWC,1,3,0,0
6924,1.334206,1.603982,MGC,2,2,0,0
1420,1.143168,1.382064,MGC,6,1,0,0
4724,1.675738,1.673654,HWC,2,2,0,0
5662,1.238613,1.886375,MGC,1,2,0,0
4403,1.570208,1.470374,HWC,3,2,0,0
4652,1.339847,1.551316,MGC,1,1,0,0
4562,1.685351,1.823343,MGC,1,2,0,0
2450,1.826486,1.528320,HWC,1,2,0,0
6682,1.255669,1.939114,MGC,2,1,0,0
3081,1.274768,1.601005,MGC,1,2,0,0
6208,1.392125,1.810958,MGC,1,1,0,0
1257,1.185273,1.347981,MGC,1,1,0,0
3120,1.254976,1.581502,MGC,1,2,0,0
1930,1.486885,1.845788,MGC,2,1,0,0
2946,1.135364,1.674914,MGC,1,1,0,0
6959,1.422443,1.751351,MGC,2,2,0,0
4162,1.660625,1.760075,MGC,1,1,0,0
5319,1.289749,1.819612,MGC,1,3,0,0
5176,1.342960,1.710413,MGC,1,1,0,0
1422,1.290100,1.497835,MGC,2,1,0,0
2846,1.200001,2.106972,MGC,1,1,0,0
2807,1.351690,1.688251,MGC,2,4,0,0
6606,1.345630,1.907780,MGC,3,2,0,0
6123,1.271854,1.350831,MGC,1,1,0,0
