line_num,human_npr,lm_npr,winner,human_n_chunks_scored,lm_n_chunks_scored,human_n_lowconf,lm_n_lowconf
10,1.684412,2.033820,MGC,1,1,0,0
100,1.373300,1.129343,HWC,1,1,0,0
1000,1.144136,1.271247,MGC,6,1,0,0
1001,1.124609,1.295649,MGC,1,1,0,0
1002,1.252014,1.744867,MGC,1,1,0,0
1003,1.542594,1.573663,MGC,5,1,0,0
1004,1.344976,1.471102,MGC,1,1,0,0
1005,1.218285,1.514057,MGC,1,1,0,0
1006,1.458157,1.160651,HWC,1,1,0,0
1007,1.302912,1.307062,MGC,2,1,0,0
1008,1.356180,1.839181,MGC,1,1,0,0
1009,1.379399,1.311264,HWC,1,1,0,0
101,1.281071,1.663997,MGC,2,1,0,0
1010,1.267810,1.395734,MGC,5,2,0,0
1011,1.374976,1.487764,MGC,1,1,0,0
1012,1.535071,0.998589,HWC,1,1,0,0
1013,1.590890,1.373469,HWC,1,1,0,0
1015,1.406733,1.307644,HWC,1,1,0,0
1016,1.246121,1.366498,MGC,1,1,0,0
1017,1.773880,1.392106,HWC,1,1,0,0
1018,1.352115,2.192228,MGC,1,1,0,0
1019,1.396117,1.648868,MGC,1,2,0,0
1020,1.643130,1.306084,HWC,1,1,0,0
1021,1.293655,1.673517,MGC,1,1,0,0
1024,1.153899,1.327350,MGC,1,1,0,0
1025,1.572934,1.957304,MGC,1,1,0,0
1026,1.614538,1.706818,MGC,2,1,0,0
1027,1.237367,1.295399,MGC,1,1,0,0
1028,1.412712,1.090396,HWC,1,1,0,0
1029,1.236538,1.617516,MGC,1,1,0,0
103,1.386152,1.724801,MGC,2,1,0,0
1030,1.374785,1.506777,MGC,1,1,0,0
1031,1.305299,1.787301,MGC,1,1,0,0
1033,1.446137,1.603178,MGC,3,1,0,0
1034,1.166002,1.252483,MGC,1,1,0,0
1035,1.340669,1.843043,MGC,2,1,0,0
1036,1.204946,1.550829,MGC,1,1,0,0
1037,1.302101,1.457777,MGC,2,1,0,0
1038,1.266946,1.221361,HWC,1,1,0,0
1039,1.301301,1.389287,MGC,1,1,0,0
1040,1.260276,1.510789,MGC,2,1,0,0
1041,1.229011,1.923909,MGC,2,1,0,0
1042,1.252252,1.263031,MGC,1,1,0,0
1043,1.319262,1.381707,MGC,2,1,0,0
1044,1.390616,1.802549,MGC,1,1,0,0
1045,1.318411,1.437380,MGC,1,1,0,0
1046,1.335586,1.111856,HWC,4,1,0,0
1047,1.244576,1.437566,MGC,2,2,0,0
1048,1.342062,1.305416,HWC,1,1,0,0
1049,1.306927,1.340343,MGC,2,1,0,0
105,1.268507,1.178611,HWC,1,1,0,0
1050,1.329330,2.176406,MGC,1,1,0,0
1052,1.318077,1.585709,MGC,3,2,0,0
1053,1.339378,1.052776,HWC,1,1,0,0
1054,1.296988,1.535748,MGC,1,2,0,0
1055,1.712279,1.616349,HWC,1,1,0,0
1056,1.528976,1.843862,MGC,1,1,0,0
1057,1.698556,1.324888,HWC,1,1,0,0
1058,1.514005,1.579864,MGC,1,1,0,0
1059,1.422294,1.384513,HWC,1,1,0,0
106,1.358657,1.342931,HWC,1,1,0,0
1060,1.324446,1.282681,HWC,1,1,0,0
1061,1.379360,1.767454,MGC,3,1,0,0
1062,1.140666,1.764023,MGC,1,1,0,0
1063,1.645779,1.817740,MGC,1,1,0,0
1064,1.280799,1.745021,MGC,6,1,0,0
1065,1.402941,1.928892,MGC,2,1,0,0
1066,1.344046,1.440664,MGC,2,1,0,0
1067,1.455961,1.507052,MGC,1,1,0,0
1068,1.363316,1.923848,MGC,2,1,0,0
107,1.213540,1.208198,HWC,2,1,0,0
1070,1.620044,1.201522,HWC,1,1,0,0
1071,1.411266,1.406652,HWC,2,1,0,0
1072,1.254473,1.408877,MGC,4,2,0,0
1074,1.492647,1.270180,HWC,1,1,0,0
1075,1.359461,1.847958,MGC,3,1,0,0
1076,1.200478,1.369190,MGC,1,1,0,0
1077,1.112118,1.265919,MGC,1,1,0,0
1079,1.303488,1.419372,MGC,1,1,0,0
108,1.453279,1.522938,MGC,1,1,0,0
1080,1.520385,1.633301,MGC,1,1,0,0
1081,1.486752,1.894435,MGC,1,1,0,0
1082,1.234318,2.295350,MGC,1,2,0,0
1083,1.339611,1.692949,MGC,3,1,0,0
1084,1.283639,1.367626,MGC,1,1,0,0
1085,1.282753,1.350247,MGC,2,1,0,0
1086,1.582611,1.522238,HWC,2,1,0,0
1087,1.279229,1.259902,HWC,1,1,0,0
1088,1.386961,1.625905,MGC,2,2,0,0
1089,1.526001,1.653474,MGC,2,2,0,0
109,1.265651,1.470931,MGC,3,1,0,0
1090,1.461402,1.599754,MGC,1,1,0,0
1091,1.481558,1.085366,HWC,1,1,0,0
1093,1.110566,1.567926,MGC,1,1,0,0
1094,1.273070,1.618774,MGC,1,2,0,0
1095,1.519678,1.754268,MGC,2,1,0,0
1096,1.218989,2.100449,MGC,1,1,0,0
1097,1.231262,1.573580,MGC,2,1,0,0
1098,1.487240,1.584749,MGC,2,1,0,0
110,1.171608,1.004504,HWC,3,1,0,0
1100,1.044946,1.040371,HWC,3,1,0,0
1101,1.490630,1.555579,MGC,1,1,0,0
1102,1.605656,1.886299,MGC,1,1,0,0
1103,1.389611,1.667560,MGC,1,1,0,0
1104,1.160388,1.244807,MGC,1,1,0,0
1105,1.277178,1.832791,MGC,1,1,0,0
1106,1.318966,1.294163,HWC,2,1,0,0
1107,1.547295,1.842088,MGC,2,1,0,0
1108,1.518359,2.307818,MGC,1,1,0,0
1109,1.575204,1.164973,HWC,1,1,0,0
111,1.263499,1.264544,MGC,5,1,0,0
1110,1.256002,1.226628,HWC,7,1,0,0
1111,1.282434,1.424220,MGC,3,1,0,0
1113,1.422029,1.205961,HWC,1,1,0,0
1114,1.307880,1.312249,MGC,4,1,0,0
1115,1.197532,1.168668,HWC,1,1,0,0
1116,1.585137,1.615998,MGC,1,1,0,0
1118,1.617093,1.730049,MGC,2,1,0,0
1119,1.504026,1.597805,MGC,2,1,0,0
112,1.534269,1.201400,HWC,1,1,0,0
1120,1.424860,2.093497,MGC,1,1,0,0
1121,1.250107,1.980174,MGC,1,1,0,0
1123,1.293820,1.900815,MGC,2,2,0,0
1124,1.356515,1.476737,MGC,6,1,0,0
1125,1.339840,1.414552,MGC,1,1,0,0
1126,1.162914,1.605888,MGC,1,1,0,0
1128,1.277592,1.912208,MGC,5,1,0,0
1129,1.162153,1.707905,MGC,1,1,0,0
113,1.284704,1.509655,MGC,3,2,0,0
1130,1.417589,1.178763,HWC,2,1,0,0
1131,1.163068,1.377228,MGC,1,1,0,0
1133,1.374034,1.459846,MGC,2,2,0,0
1134,1.396085,1.646916,MGC,2,1,0,0
1135,1.311636,1.266319,HWC,1,1,0,0
1136,1.423440,1.415239,HWC,1,1,0,0
1137,1.258474,1.457877,MGC,1,1,0,0
1139,1.200399,1.403159,MGC,2,1,0,0
1140,1.273039,1.259430,HWC,2,1,0,0
1141,1.401340,1.886890,MGC,2,1,0,0
1142,1.417267,1.239128,HWC,1,1,0,0
1143,1.284220,1.222776,HWC,2,1,0,0
1144,1.544740,1.727771,MGC,1,1,0,0
1146,1.255474,1.696702,MGC,1,1,0,0
1147,1.342457,1.339211,HWC,1,1,0,0
1148,1.207711,1.323020,MGC,1,1,0,0
1149,1.270726,1.250423,HWC,2,1,0,0
115,1.248550,1.038506,HWC,1,1,0,0
1151,1.773147,1.954884,MGC,1,1,0,0
1152,1.312530,1.922639,MGC,2,1,0,0
1153,1.328848,1.563989,MGC,5,1,0,0
1154,1.866193,2.332511,MGC,2,2,0,0
1155,1.239402,1.441816,MGC,7,1,0,0
1156,1.131363,1.315114,MGC,2,4,0,0
1157,1.440682,1.322719,HWC,1,1,0,0
1159,1.662577,1.621939,HWC,1,1,0,0
1160,1.631381,1.186759,HWC,1,1,0,0
1161,1.223390,1.204445,HWC,1,1,0,0
1162,1.324595,1.574243,MGC,2,1,0,0
1163,1.209361,1.245863,MGC,1,1,0,0
1164,1.317100,1.608596,MGC,1,1,0,0
1165,1.541733,1.704500,MGC,2,1,0,0
1167,1.243749,1.176475,HWC,1,1,0,0
1168,1.223169,1.707076,MGC,1,2,0,0
1169,1.444983,1.301352,HWC,2,1,0,0
117,1.598069,1.476897,HWC,1,1,0,0
1170,1.272922,1.744574,MGC,1,3,0,0
1171,1.263894,1.216149,HWC,1,1,0,0
1172,1.265076,1.487255,MGC,2,2,0,0
1173,1.292366,2.240747,MGC,7,1,0,0
1174,1.224870,1.381288,MGC,1,1,0,0
1175,1.263903,1.681851,MGC,1,1,0,0
1176,1.371142,1.979222,MGC,2,1,0,0
1177,1.607742,1.714410,MGC,1,2,0,0
1178,1.275473,1.537824,MGC,1,1,0,0
1179,1.441709,1.350278,HWC,1,1,0,0
118,1.267035,1.805711,MGC,2,1,0,0
1180,1.473004,1.171858,HWC,1,1,0,0
1181,1.333125,1.575468,MGC,4,1,0,0
1182,1.625349,1.793895,MGC,1,1,0,0
1183,1.182115,2.115287,MGC,2,1,0,0
1184,1.330187,1.430467,MGC,1,3,0,0
1185,1.326531,1.289520,HWC,2,1,0,0
1186,1.615844,1.237688,HWC,1,1,0,0
1187,1.241058,1.462564,MGC,1,1,0,0
1190,1.274578,1.556462,MGC,6,1,0,0
1191,1.416645,1.775084,MGC,1,1,0,0
1192,2.003018,2.827594,MGC,2,2,0,0
1193,1.271652,1.635341,MGC,1,1,0,0
1194,1.412754,1.571147,MGC,1,3,0,0
1196,1.249762,1.430257,MGC,1,1,0,0
1197,1.261164,1.572653,MGC,1,1,0,0
1198,1.119421,1.306907,MGC,1,1,0,0
1199,1.252990,1.062363,HWC,1,1,0,0
12,1.407530,1.929663,MGC,3,1,0,0
120,1.151580,1.153553,MGC,1,1,0,0
1200,1.121491,1.140902,MGC,1,1,0,0
1201,1.256315,1.138043,HWC,7,1,0,0
1202,1.281419,1.660660,MGC,1,1,0,0
1203,1.411544,1.372151,HWC,2,1,0,0
1204,1.427544,2.366019,MGC,1,1,0,0
1205,1.359187,1.613594,MGC,3,1,0,0
1206,1.456471,1.669830,MGC,3,3,0,0
1207,1.186429,1.102232,HWC,1,1,0,0
1208,1.294919,1.574027,MGC,4,1,0,0
1210,1.234092,1.429346,MGC,5,1,0,0
1212,1.268540,1.343058,MGC,1,1,0,0
1213,1.203974,1.448702,MGC,1,1,0,0
1214,1.412567,1.183233,HWC,1,1,0,0
1215,1.337412,1.767250,MGC,2,1,0,0
1216,1.143555,1.614876,MGC,1,1,0,0
1217,1.298118,1.835081,MGC,3,1,0,0
1218,1.320810,1.559198,MGC,5,1,0,0
1219,1.307088,1.480005,MGC,3,2,0,0
122,1.329939,1.452012,MGC,1,1,0,0
1220,1.234322,1.366742,MGC,1,1,0,0
1222,1.279044,1.433894,MGC,2,1,0,0
1223,1.274105,1.235543,HWC,1,1,0,0
1224,1.269390,1.794352,MGC,1,1,0,0
1225,1.200179,1.905551,MGC,1,1,0,0
1226,1.355107,1.915600,MGC,3,1,0,0
1227,1.174843,1.092296,HWC,1,1,0,0
1229,2.207966,1.260774,HWC,1,1,0,0
123,1.275459,1.653613,MGC,7,1,0,0
1230,1.517853,1.596602,MGC,1,1,0,0
1231,1.407075,1.153467,HWC,1,1,0,0
1232,1.168419,1.806247,MGC,5,1,0,0
1233,1.518254,1.936583,MGC,1,1,0,0
1234,1.370516,1.498678,MGC,3,1,0,0
1235,1.169882,1.570441,MGC,3,2,0,0
1236,1.240180,1.489101,MGC,6,3,0,0
1237,1.270263,1.270163,HWC,2,1,0,0
1239,1.462121,1.440404,HWC,1,2,0,0
124,1.268236,1.558277,MGC,1,1,0,0
1240,1.358012,1.179384,HWC,3,1,0,0
1241,1.342516,1.233951,HWC,2,1,0,0
1242,1.368414,1.623304,MGC,1,1,0,0
1243,1.582989,1.570913,HWC,1,1,0,0
1244,1.205173,1.295303,MGC,3,1,0,0
1245,1.348983,1.649459,MGC,3,2,0,0
1246,1.438419,1.756375,MGC,2,3,0,0
1247,1.233264,1.134277,HWC,2,1,0,0
1249,1.221710,1.219343,HWC,1,1,0,0
125,1.250929,1.410074,MGC,3,1,0,0
1250,1.238834,1.360478,MGC,1,1,0,0
1251,1.429934,1.339161,HWC,1,1,0,0
1252,1.403166,1.461310,MGC,2,1,0,0
1253,1.546594,1.786360,MGC,1,1,0,0
1255,1.338931,1.651025,MGC,1,1,0,0
1256,1.270143,1.578585,MGC,1,1,0,0
1257,1.273499,1.522506,MGC,6,2,0,0
1258,1.377065,1.938810,MGC,1,1,0,0
1259,1.279696,1.125508,HWC,1,1,0,0
126,1.365042,1.260403,HWC,1,1,0,0
1260,1.319629,1.361463,MGC,4,1,0,0
1261,1.206839,1.631278,MGC,2,3,0,0
1262,1.284468,1.353657,MGC,3,1,0,0
1263,1.596774,1.651345,MGC,1,1,0,0
1264,1.436376,1.336514,HWC,1,1,0,0
1265,1.263085,1.292460,MGC,5,1,0,0
1266,1.264169,1.545517,MGC,3,2,0,0
1268,1.294368,1.611681,MGC,1,1,0,0
1269,1.250019,1.318295,MGC,1,1,0,0
127,1.323100,1.619597,MGC,4,1,0,0
1270,1.268728,1.603228,MGC,7,1,0,0
1271,1.107591,1.119426,MGC,1,1,0,0
1272,1.229674,1.832614,MGC,1,2,0,0
1273,1.272380,1.561553,MGC,1,1,0,0
1274,1.343124,1.661479,MGC,1,1,0,0
1275,1.247800,1.240198,HWC,2,1,0,0
1276,1.284061,1.147299,HWC,1,1,0,0
1277,1.163274,1.718791,MGC,1,1,0,0
1278,1.364565,1.432264,MGC,2,1,0,0
1279,1.529978,1.511595,HWC,1,1,0,0
128,1.137147,1.055976,HWC,1,1,0,0
1280,1.336946,1.567737,MGC,1,1,0,0
1281,1.192498,1.190183,HWC,1,1,0,0
1282,1.313850,1.369618,MGC,3,2,0,0
1284,1.482250,2.306870,MGC,4,1,0,0
1285,1.451396,1.600753,MGC,1,1,0,0
1287,1.483432,1.100947,HWC,3,1,0,0
1288,1.263030,1.484362,MGC,6,1,0,0
1289,1.387158,1.532165,MGC,3,1,0,0
129,1.237129,1.465780,MGC,3,1,0,0
1290,1.278998,1.769508,MGC,1,1,0,0
1292,1.299327,1.808347,MGC,9,1,0,0
1293,1.345192,1.493793,MGC,1,2,0,0
1294,1.620551,1.520821,HWC,1,1,0,0
1295,1.376815,1.649452,MGC,2,1,0,0
1296,1.123087,1.221062,MGC,1,1,0,0
1297,1.345764,1.630190,MGC,3,1,0,0
1298,1.210551,1.579259,MGC,1,1,0,0
13,1.226437,1.275587,MGC,4,1,0,0
130,1.330755,1.362340,MGC,2,1,0,0
1300,1.240534,1.324562,MGC,1,1,0,0
1302,1.464199,1.729914,MGC,2,1,0,0
1303,1.605425,1.600527,HWC,1,1,0,0
1304,1.354238,1.604798,MGC,4,2,0,0
1306,1.461310,1.718369,MGC,1,1,0,0
1307,1.235018,1.209880,HWC,1,1,0,0
1308,1.601836,1.512214,HWC,1,1,0,0
131,1.269717,1.288889,MGC,1,1,0,0
1310,1.086982,1.463009,MGC,1,1,0,0
1311,1.876027,1.123239,HWC,1,1,0,0
1312,1.199832,1.215582,MGC,1,1,0,0
1313,1.230903,1.429067,MGC,2,1,0,0
1314,1.231948,1.095980,HWC,1,1,0,0
1315,1.311014,1.941906,MGC,3,1,0,0
1316,1.196138,1.447252,MGC,1,1,0,0
1317,1.393456,1.617547,MGC,1,1,0,0
1318,1.468449,1.626030,MGC,1,1,0,0
1319,1.158038,1.478944,MGC,1,1,0,0
132,1.460289,2.069130,MGC,2,1,0,0
1320,1.390354,1.160059,HWC,1,1,0,0
1321,1.305777,1.529652,MGC,4,2,0,0
1323,1.222088,1.821298,MGC,3,2,0,0
1324,1.365618,1.669575,MGC,1,1,0,0
1325,1.240276,1.488934,MGC,1,1,0,0
1326,1.345650,1.272230,HWC,3,1,0,0
1327,1.601703,1.543896,HWC,1,1,0,0
1329,1.262958,1.713320,MGC,1,1,0,0
1330,1.216513,1.377248,MGC,5,1,0,0
1332,1.211398,1.323628,MGC,1,1,0,0
1333,1.353000,1.208161,HWC,2,1,0,0
1334,1.208695,1.812776,MGC,1,2,0,0
1335,1.119877,1.284098,MGC,1,1,0,0
1336,1.343890,1.377358,MGC,5,1,0,0
1337,1.584274,1.164508,HWC,1,1,0,0
1338,1.352623,1.058243,HWC,1,1,0,0
1339,1.487023,1.830998,MGC,1,1,0,0
134,1.158485,1.383157,MGC,1,1,0,0
1341,1.554843,1.461934,HWC,1,1,0,0
1342,1.426013,1.653878,MGC,3,1,0,0
1343,1.235889,1.458352,MGC,3,1,0,0
1344,1.397359,1.462207,MGC,2,1,0,0
1345,1.243450,1.192663,HWC,2,1,0,0
1347,1.215212,1.373002,MGC,2,1,0,0
1348,1.576708,1.754082,MGC,2,2,0,0
1349,1.405604,1.318511,HWC,2,1,0,0
135,1.468930,1.910771,MGC,3,2,0,0
1350,1.205339,1.582679,MGC,1,1,0,0
1351,1.328547,1.350323,MGC,2,1,0,0
1352,1.559280,1.728425,MGC,1,1,0,0
1353,1.194787,1.278024,MGC,1,1,0,0
1354,1.336790,1.865566,MGC,1,1,0,0
1355,1.209794,1.245241,MGC,5,1,0,0
1356,1.408307,1.346957,HWC,2,1,0,0
1357,1.280961,1.763891,MGC,2,1,0,0
1358,1.209291,1.033506,HWC,2,1,0,0
1359,1.232886,1.108210,HWC,3,1,0,0
136,1.348867,1.823569,MGC,1,2,0,0
1360,1.196831,1.483401,MGC,1,1,0,0
1361,1.325881,1.079833,HWC,1,1,0,0
1362,1.223199,1.296133,MGC,1,1,0,0
1364,1.134124,1.493701,MGC,1,1,0,0
1365,1.227427,2.150212,MGC,1,2,0,0
1366,1.209962,1.239191,MGC,3,1,0,0
1368,1.250216,1.949318,MGC,3,1,0,0
1369,1.309513,1.668413,MGC,2,2,0,0
137,1.484019,1.828243,MGC,6,1,0,0
1370,1.514043,1.580001,MGC,4,1,0,0
1371,1.429716,2.283995,MGC,2,3,0,0
1372,1.387691,1.544802,MGC,1,1,0,0
1373,1.380061,1.569626,MGC,1,1,0,0
1374,1.283112,1.919533,MGC,1,1,0,0
1375,1.464800,1.487006,MGC,2,1,0,0
1376,1.135765,1.739286,MGC,1,1,0,0
1377,1.321666,2.061224,MGC,1,1,0,0
1378,1.149197,1.378518,MGC,1,1,0,0
1379,1.359084,1.588451,MGC,3,1,0,0
138,1.251744,2.193686,MGC,2,1,0,0
1380,1.173786,1.107740,HWC,1,1,0,0
1381,1.309024,2.038374,MGC,3,2,0,0
1382,1.186262,1.048322,HWC,1,1,0,0
1384,1.245017,1.219367,HWC,1,1,0,0
1385,1.259868,1.181196,HWC,1,1,0,0
1388,1.277167,1.478779,MGC,2,2,0,0
1389,1.375755,1.450678,MGC,2,1,0,0
1390,1.790258,1.734856,HWC,2,1,0,0
1395,1.296727,1.145469,HWC,2,1,0,0
1396,1.224671,1.379623,MGC,3,1,0,0
1397,1.336659,1.720378,MGC,4,2,0,0
1398,1.268264,1.509562,MGC,5,2,0,0
1399,1.309008,1.228434,HWC,1,1,0,0
140,1.474229,1.367204,HWC,1,1,0,0
1400,1.318013,1.674843,MGC,3,1,0,0
1401,1.213770,1.719163,MGC,1,1,0,0
1402,1.453853,2.453672,MGC,1,2,0,0
1404,1.490763,1.498795,MGC,1,1,0,0
1405,1.375333,1.315626,HWC,1,1,0,0
1406,1.589473,1.941629,MGC,1,1,0,0
1407,1.436862,1.646237,MGC,1,1,0,0
1408,1.433553,1.576066,MGC,1,1,0,0
1409,1.134361,1.344484,MGC,1,1,0,0
141,1.303456,1.377677,MGC,1,1,0,0
1410,1.171976,1.149734,HWC,5,1,0,0
1412,1.187211,1.602096,MGC,1,1,0,0
1413,1.368297,2.110284,MGC,2,1,0,0
1414,1.281858,1.440733,MGC,5,1,0,0
1415,1.259663,1.112745,HWC,1,1,0,0
1416,1.500195,2.121388,MGC,5,1,0,0
1417,1.199902,1.189308,HWC,1,1,0,0
1418,1.790141,1.470712,HWC,1,1,0,0
1419,1.263342,1.471990,MGC,1,1,0,0
142,1.214719,1.456695,MGC,1,1,0,0
1420,1.506727,1.738782,MGC,1,2,0,0
1421,1.368585,1.169465,HWC,2,1,0,0
1422,1.277030,1.421088,MGC,2,1,0,0
1423,1.468680,1.771240,MGC,1,1,0,0
1424,1.409105,1.528398,MGC,1,1,0,0
1425,1.230001,1.142547,HWC,1,1,0,0
1426,1.311191,1.249260,HWC,2,1,0,0
1427,1.390780,1.746307,MGC,6,2,0,0
1428,1.202428,1.200038,HWC,1,1,0,0
1429,1.341039,1.330087,HWC,2,1,0,0
143,1.262772,1.983150,MGC,2,1,0,0
1430,1.631913,2.219460,MGC,2,1,0,0
1431,1.369560,1.776122,MGC,1,2,0,0
1432,1.270652,1.552636,MGC,1,1,0,0
1433,1.589363,1.413569,HWC,2,1,0,0
1434,1.289562,1.060294,HWC,1,1,0,0
1436,1.273063,1.400658,MGC,2,1,0,0
1437,1.187177,1.161618,HWC,1,1,0,0
1438,1.525672,1.259343,HWC,1,1,0,0
1439,1.293043,1.446166,MGC,2,1,0,0
