line_num,human_npr,lm_npr,winner,human_n_chunks_scored,lm_n_chunks_scored,human_n_lowconf,lm_n_lowconf
1,1.475999,1.830160,MGC,1,1,0,0
10,1.234765,1.169695,HWC,1,1,0,0
100,1.224376,nan,HWC,1,0,0,1
1000,1.369950,1.258686,HWC,1,1,0,0
1001,1.291800,1.625538,MGC,1,1,0,0
1002,1.491623,1.174221,HWC,1,1,0,0
1003,1.107322,1.134577,MGC,1,1,0,0
1004,1.913887,1.650095,HWC,1,1,0,0
1006,1.546935,1.667801,MGC,1,1,0,0
1007,1.568035,nan,HWC,1,0,0,1
1008,1.232869,nan,HWC,1,0,0,1
101,1.325795,1.733828,MGC,1,2,0,0
1011,1.254720,1.319418,MGC,1,1,0,0
1012,1.229827,1.381135,MGC,1,1,0,0
1013,1.403160,2.130449,MGC,3,2,0,0
1014,1.383838,1.552980,MGC,1,1,0,0
1015,1.209490,1.574123,MGC,4,2,0,0
1016,1.555818,1.262271,HWC,1,1,0,0
1017,1.106976,1.166073,MGC,1,1,0,0
102,1.318544,1.654036,MGC,2,1,0,0
1021,1.457413,nan,HWC,7,0,0,0
1023,1.307576,1.929870,MGC,3,1,0,0
1026,1.294065,1.176643,HWC,1,1,0,0
1027,1.488532,1.375850,HWC,1,1,0,0
1028,1.701935,1.178302,HWC,1,1,0,0
1030,1.329680,3.040475,MGC,4,2,0,1
1033,1.416182,1.431961,MGC,1,1,0,0
1038,1.270162,1.881046,MGC,3,1,0,1
1039,1.345442,1.453738,MGC,1,1,0,0
104,1.603414,1.233928,HWC,1,1,0,0
1040,1.560369,1.399861,HWC,1,1,1,0
1041,1.320565,2.597856,MGC,2,2,0,0
1046,1.321806,1.051864,HWC,1,1,0,0
1047,1.232367,1.170269,HWC,1,1,0,0
105,1.252383,1.056187,HWC,1,1,0,0
1051,1.456446,1.299540,HWC,1,1,0,0
1052,1.285568,1.501306,MGC,1,1,0,0
1054,1.408946,1.285882,HWC,3,1,0,0
1055,1.312212,1.572998,MGC,1,1,0,0
1056,1.402544,1.449257,MGC,1,1,0,0
1057,1.604198,nan,HWC,1,0,0,0
1059,1.350961,1.176605,HWC,1,1,0,0
1063,1.232749,1.869223,MGC,1,1,0,0
1064,1.537473,1.494299,HWC,1,1,0,0
1066,1.445498,1.314020,HWC,1,1,0,0
1068,1.260814,1.201378,HWC,1,1,0,0
1069,1.406369,1.551863,MGC,1,1,0,0
107,1.113518,0.940204,HWC,1,3,0,0
1070,1.211720,1.347694,MGC,1,1,0,0
1071,1.337987,1.623627,MGC,3,3,0,0
1073,1.278684,1.370404,MGC,1,1,0,0
1076,1.274737,1.528951,MGC,1,1,0,0
1077,1.585134,1.701352,MGC,1,1,1,0
1079,1.289950,1.976881,MGC,1,1,0,0
1081,1.584891,1.372954,HWC,1,1,1,0
1082,1.087523,1.122081,MGC,1,1,0,0
1083,1.248249,1.855287,MGC,7,7,0,0
1084,1.232911,nan,HWC,6,0,0,0
1085,1.194771,1.396548,MGC,3,1,0,0
1086,1.304195,1.302203,HWC,2,1,0,0
109,1.369795,1.540637,MGC,1,1,0,0
1090,1.459937,1.175116,HWC,1,1,0,0
1092,1.646396,1.582860,HWC,1,1,0,0
1093,1.953084,2.458832,MGC,2,1,0,0
1095,1.429604,1.457809,MGC,1,1,0,0
1096,1.258250,1.803242,MGC,2,1,1,0
1097,1.373237,1.181335,HWC,1,1,0,0
11,1.175408,1.094838,HWC,1,1,0,0
110,1.601111,2.486190,MGC,1,2,0,0
1100,1.382698,1.266401,HWC,1,1,0,0
1101,1.630220,1.254878,HWC,1,1,0,0
1104,1.497443,2.141460,MGC,1,3,0,0
1105,1.252279,nan,HWC,1,0,0,0
1109,1.617469,1.630540,MGC,1,1,0,0
111,1.098622,1.433707,MGC,1,1,0,0
1110,1.548184,1.111769,HWC,1,1,0,0
1111,1.253440,1.818269,MGC,1,1,0,0
1112,1.348978,1.370013,MGC,1,1,0,0
1113,1.188702,1.536563,MGC,2,1,0,0
1114,1.336929,nan,HWC,3,0,0,1
1117,1.296803,1.670487,MGC,4,2,0,0
1120,1.223356,1.587602,MGC,3,2,0,0
1123,1.454680,1.422362,HWC,1,1,0,0
1124,1.170078,1.219708,MGC,1,1,0,0
1125,1.430831,1.448516,MGC,1,1,0,0
1126,1.271906,1.163155,HWC,1,1,0,0
1129,1.723460,1.172408,HWC,1,1,0,0
113,1.314665,1.735075,MGC,1,1,0,0
1130,1.335428,1.462393,MGC,1,1,0,0
1132,1.214365,1.229252,MGC,1,1,0,0
1133,1.198287,nan,HWC,1,0,0,1
1138,1.416917,1.930167,MGC,1,2,0,0
1139,1.375683,2.067326,MGC,1,1,0,0
1141,1.429920,1.618135,MGC,2,2,0,0
1142,1.210126,1.235142,MGC,1,1,0,0
1143,1.607172,1.458949,HWC,2,1,0,0
1144,1.090443,1.554779,MGC,1,1,0,0
1145,1.240543,1.484079,MGC,1,4,1,0
1146,1.589507,1.792178,MGC,1,1,0,0
1147,1.203024,1.220975,MGC,1,1,0,0
