line_num,human_npr,lm_npr,winner,human_logrank,lm_logrank,human_perturbed_logrank,lm_perturbed_logrank
1002,1.364524,1.329066,HWC,0.403852,0.377461,0.551066,0.501670
1004,1.690596,1.934791,MGC,0.365959,0.264474,0.618689,0.511702
1006,1.574301,1.800006,MGC,0.400059,0.437548,0.629814,0.787589
1007,1.788320,1.637968,HWC,0.381895,0.540808,0.682950,0.885827
1012,1.187456,1.154729,HWC,0.860237,0.963467,1.021493,1.112543
1016,1.500726,1.421782,HWC,0.465923,0.682750,0.699222,0.970721
1022,1.239716,1.400132,MGC,0.672176,0.603167,0.833307,0.844513
1023,1.224133,1.311332,MGC,0.685928,0.681156,0.839668,0.893221
1026,1.292430,1.484567,MGC,0.797128,0.621819,1.030232,0.923132
1027,1.378890,1.468075,MGC,0.549159,0.680243,0.757231,0.998647
1029,1.147553,1.420116,MGC,0.819315,0.469460,0.940207,0.666687
1033,1.425748,1.836786,MGC,0.423973,0.505513,0.604479,0.928518
1034,1.378539,1.244052,HWC,0.617419,1.314159,0.851136,1.634882
1039,1.588206,1.701093,MGC,0.340718,0.304844,0.541131,0.518567
1041,1.281225,1.793626,MGC,0.453167,0.282392,0.580609,0.506505
1044,1.401536,1.576405,MGC,0.448477,0.449377,0.628557,0.708400
1046,1.349897,1.444141,MGC,0.618929,0.530590,0.835491,0.766247
1048,1.452167,2.414683,MGC,0.343604,0.083862,0.498970,0.202501
105,1.261564,1.272939,MGC,0.788163,1.035569,0.994318,1.318216
1050,1.301918,1.558073,MGC,0.492345,0.414817,0.640993,0.646315
1052,1.449655,1.581011,MGC,0.520755,0.493007,0.754916,0.779449
1054,1.432935,1.432180,HWC,0.372982,0.617687,0.534459,0.884639
1055,1.378779,1.606897,MGC,0.524995,0.330701,0.723852,0.531402
1056,1.320020,1.130044,HWC,0.541240,1.720157,0.714447,1.943853
1059,1.660699,1.882315,MGC,0.314989,0.288501,0.523103,0.543050
106,1.695230,2.156956,MGC,0.366300,0.238551,0.620963,0.514544
1061,1.309729,1.252429,HWC,0.563570,1.169589,0.738124,1.464826
1066,1.293858,1.255630,HWC,0.649659,0.824376,0.840566,1.035111
1068,1.207056,1.545597,MGC,0.761470,0.631627,0.919138,0.976241
107,1.152039,1.121952,HWC,0.721413,0.724722,0.831096,0.813103
1070,1.313862,1.508924,MGC,0.631810,0.417078,0.830111,0.629338
1072,1.506235,1.414132,HWC,0.316035,0.389791,0.476024,0.551216
1073,1.289377,1.445327,MGC,0.561724,0.631611,0.724274,0.912885
1074,1.241127,1.323039,MGC,0.794957,0.690610,0.986642,0.913703
1076,1.292847,1.310594,MGC,0.764885,0.886552,0.988879,1.161910
1077,1.500116,1.425765,HWC,0.405097,0.434575,0.607692,0.619601
1079,1.329438,1.404222,MGC,0.528654,0.520595,0.702812,0.731031
1080,1.351506,1.706204,MGC,0.535236,0.348520,0.723375,0.594647
1081,1.604639,1.728197,MGC,0.304639,0.294169,0.488835,0.508382
1082,1.315955,1.332758,MGC,0.728730,0.703009,0.958976,0.936941
1085,1.318216,3.043411,MGC,0.444009,0.126367,0.585299,0.384587
1088,1.449517,1.634458,MGC,0.537989,0.383917,0.779825,0.627497
1089,1.764067,3.497667,MGC,0.249383,0.086586,0.439929,0.302848
109,1.327309,1.324633,HWC,0.629654,0.677317,0.835746,0.897196
1093,1.517872,1.528868,MGC,0.442959,0.551777,0.672355,0.843595
1097,1.278786,1.288135,MGC,0.577215,0.697893,0.738135,0.898980
110,1.411698,1.507672,MGC,0.515341,0.401374,0.727506,0.605140
1100,1.323197,1.423099,MGC,0.563111,0.533756,0.745107,0.759589
1101,1.424222,1.406906,HWC,0.504799,0.539017,0.718945,0.758347
1104,1.700059,3.002528,MGC,0.244282,0.111437,0.415294,0.334593
1109,1.378180,1.436307,MGC,0.506490,0.543151,0.698035,0.780132
111,1.218092,1.490046,MGC,0.884083,0.447841,1.076894,0.667304
1112,1.324727,2.943832,MGC,0.505214,0.084846,0.669270,0.249773
1115,1.611465,1.448480,HWC,0.370111,0.441937,0.596421,0.640138
1117,1.315028,1.335505,MGC,0.529904,0.571726,0.696838,0.763543
1118,1.574818,1.625228,MGC,0.428571,0.406617,0.674921,0.660845
1120,1.296605,1.346234,MGC,0.528437,0.560362,0.685175,0.754379
1123,1.486974,1.716451,MGC,0.417991,0.287058,0.621542,0.492721
1124,1.189226,1.417312,MGC,0.834862,0.614334,0.992840,0.870702
1125,1.461346,1.716412,MGC,0.537647,0.421291,0.785689,0.723109
1126,1.230148,1.168625,HWC,0.783431,0.990875,0.963737,1.157962
1127,1.285438,2.063304,MGC,0.496682,0.153232,0.638454,0.316165
1132,1.212076,1.671777,MGC,0.780026,0.406697,0.945451,0.679907
1133,1.275769,1.239414,HWC,0.808229,1.073256,1.031114,1.330209
1137,1.553036,1.337594,HWC,0.351922,0.675940,0.546548,0.904134
1138,1.317624,1.361802,MGC,0.585508,0.460692,0.771480,0.627372
1139,1.335913,1.302583,HWC,0.683993,0.883479,0.913756,1.150805
114,1.319898,1.439112,MGC,0.713050,0.481189,0.941154,0.692484
1142,1.475838,1.546535,MGC,0.428384,0.490029,0.632226,0.757847
