index,source_line_no,hwc_npr,mgc_npr,winner,hwc_logrank,mgc_logrank,hwc_perturbed_logrank,mgc_perturbed_logrank
0,0,1.451634,2.037562,MGC,1.542987,0.252639,2.239853,0.514767
1,2,1.699293,3.234529,MGC,0.347621,0.179590,0.590709,0.580890
2,8,1.420577,1.000000,HWC,0.870622,0.061891,1.236787,0.061891
3,15,1.842132,2.739326,MGC,0.391666,0.163523,0.721500,0.447942
4,17,1.262942,1.819099,MGC,0.963627,0.459613,1.217006,0.836082
5,19,1.448193,2.444269,MGC,0.757847,0.283918,1.097508,0.693972
6,23,1.127297,2.414730,MGC,1.331054,0.251021,1.500492,0.606148
7,25,1.218325,3.656155,MGC,0.613845,0.159394,0.747863,0.582770
8,28,1.316793,2.301474,MGC,0.867294,0.175597,1.142047,0.404133
9,33,1.333547,1.518348,MGC,0.809425,0.545330,1.079405,0.828001
10,39,1.347595,1.709153,MGC,0.833678,0.430823,1.123460,0.736343
11,43,1.591206,2.230718,MGC,0.458586,0.157918,0.729706,0.352271
12,58,1.557794,1.661090,MGC,0.361198,0.382119,0.562672,0.634735
13,64,1.309305,1.650289,MGC,0.881815,0.314845,1.154565,0.519586
14,67,1.335860,2.878361,MGC,0.856807,0.237505,1.144574,0.683625
15,70,1.350401,1.619695,MGC,0.441522,0.357350,0.596231,0.578797
16,77,2.174712,1.771921,HWC,0.273284,0.260551,0.594313,0.461676
17,91,1.372905,1.451534,MGC,0.851617,0.593813,1.169189,0.861940
18,106,1.114813,1.027173,HWC,1.486041,2.531930,1.656659,2.600730
19,108,1.385113,2.338056,MGC,0.937178,0.231460,1.298097,0.541166
20,109,1.618740,2.509699,MGC,0.407643,0.168472,0.659868,0.422815
21,110,1.116506,1.555024,MGC,1.249067,0.492904,1.394590,0.766477
22,111,2.121740,1.650000,HWC,0.177750,0.308450,0.377139,0.508943
23,120,1.698347,1.832118,MGC,0.308560,0.326582,0.524041,0.598337
24,122,1.378708,3.056979,MGC,1.193650,0.118612,1.645695,0.362594
25,138,1.467022,2.689599,MGC,0.697653,0.311233,1.023472,0.837091
26,140,1.943215,1.883204,HWC,0.182921,0.223573,0.355455,0.421033
27,146,1.624107,2.268768,MGC,0.541870,0.152759,0.880055,0.346574
28,157,1.332873,1.842480,MGC,0.756135,0.332263,1.007831,0.612188
29,160,1.161986,1.484935,MGC,1.545948,0.964943,1.796369,1.432877
30,162,1.807990,1.919043,MGC,0.471430,0.275166,0.852340,0.528055
31,167,1.354399,2.658047,MGC,0.537853,0.200829,0.728467,0.533814
32,172,1.336789,1.794228,MGC,0.931782,0.394760,1.245596,0.708290
33,173,1.402177,1.705337,MGC,0.592749,0.422006,0.831139,0.719663
34,175,1.595885,2.443325,MGC,0.411611,0.274736,0.656883,0.671270
35,178,1.256264,1.679055,MGC,0.734384,0.378020,0.922580,0.634716
36,190,1.274787,2.069122,MGC,0.714119,0.313720,0.910349,0.649124
37,199,1.389802,2.132392,MGC,0.585280,0.399168,0.813423,0.851183
38,204,1.394005,2.398181,MGC,0.911274,0.199700,1.270321,0.478917
39,214,1.350426,1.422785,MGC,0.595609,0.515062,0.804326,0.732823
40,224,1.304217,1.655779,MGC,1.022491,0.414322,1.333550,0.686025
41,226,1.206497,2.051814,MGC,1.506384,0.192352,1.817447,0.394671
42,228,1.287481,2.002699,MGC,1.112924,0.413830,1.432868,0.828776
43,240,1.304723,1.609842,MGC,0.760546,0.312832,0.992301,0.503610
44,243,2.214353,1.856287,HWC,0.271158,0.275573,0.600439,0.511543
45,247,1.250628,1.879382,MGC,1.320824,0.442223,1.651860,0.831105
46,249,1.312544,1.521564,MGC,0.955957,0.492173,1.254735,0.748873
47,253,1.471342,1.967391,MGC,0.510499,0.220662,0.751119,0.434128
48,255,1.754240,2.818104,MGC,0.420389,0.182002,0.737463,0.512901
49,256,1.350335,2.004491,MGC,0.766231,0.277588,1.034669,0.556422
50,265,1.278524,1.273721,HWC,0.796326,0.633668,1.018123,0.807116
51,268,1.426141,2.244146,MGC,0.570837,0.217735,0.814095,0.488630
52,269,1.521873,1.822870,MGC,0.336131,0.257778,0.511549,0.469896
53,288,1.487146,1.356767,HWC,0.608851,0.472356,0.905450,0.640877
54,294,1.515852,1.690951,MGC,0.695039,0.369920,1.053576,0.625517
55,297,1.322271,2.622759,MGC,0.643988,0.202707,0.851526,0.531651
56,311,1.310802,1.912975,MGC,0.994188,0.285664,1.303183,0.546469
57,313,1.342225,2.364146,MGC,0.833770,0.248045,1.119108,0.586414
58,316,1.003161,1.821915,MGC,2.318449,0.323990,2.325778,0.590281
59,320,1.311070,1.512781,MGC,0.925851,0.753169,1.213855,1.139379
60,331,1.333472,1.966219,MGC,0.668027,0.234686,0.890796,0.461445
61,338,1.383437,1.433887,MGC,0.856443,0.908234,1.184835,1.302305
62,340,1.104690,1.783573,MGC,1.654882,0.337716,1.828132,0.602341
63,343,1.322404,2.955462,MGC,0.788710,0.190982,1.042992,0.564439
64,347,1.324045,2.080695,MGC,0.796411,0.338470,1.054484,0.704253
65,348,1.528149,1.716394,MGC,0.437573,0.350885,0.668677,0.602257
66,365,1.338132,2.007042,MGC,0.784061,0.340363,1.049176,0.683123
67,366,1.269117,2.274283,MGC,1.009259,0.283202,1.280867,0.644081
68,376,1.613395,2.557981,MGC,0.420491,0.146386,0.678418,0.374451
69,379,1.668525,2.111558,MGC,0.705937,0.290244,1.177873,0.612868
70,380,1.355999,1.136909,HWC,0.634332,0.146891,0.860153,0.167001
71,386,1.280078,1.878585,MGC,1.106857,0.300637,1.416864,0.564773
72,402,1.536765,1.779913,MGC,0.367191,0.401349,0.564286,0.714365
73,405,1.427568,1.639519,MGC,0.845288,0.401556,1.206707,0.658359
74,407,2.101779,2.173995,MGC,0.219966,0.232592,0.462320,0.505654
75,408,1.224414,2.102107,MGC,0.980905,0.186287,1.201034,0.391594
76,409,1.394318,1.470827,MGC,0.579108,0.414349,0.807460,0.609435
77,416,1.524628,1.940102,MGC,0.556176,0.284397,0.847962,0.551759
78,417,1.632796,2.064666,MGC,0.524017,0.354513,0.855613,0.731952
79,419,1.593042,1.484058,HWC,0.621021,0.674779,0.989313,1.001411
80,425,1.424896,1.862023,MGC,1.191409,0.442489,1.697633,0.823925
81,428,1.387560,2.281359,MGC,0.821571,0.280084,1.139979,0.638973
82,429,1.378344,2.047463,MGC,0.964725,0.260554,1.329723,0.533474
83,431,1.190174,1.726799,MGC,1.223987,0.324328,1.456758,0.560050
84,432,1.185708,1.796076,MGC,1.357431,0.408147,1.609517,0.733062
85,435,1.234062,1.618243,MGC,1.047937,0.485537,1.293219,0.785717
86,442,1.218752,1.667865,MGC,0.845812,0.185661,1.030835,0.309657
87,449,1.334896,2.127173,MGC,0.992834,0.375355,1.325331,0.798445
88,456,1.231145,1.870069,MGC,0.939650,0.249604,1.156845,0.466777
89,457,1.416926,2.174800,MGC,0.379210,0.307489,0.537312,0.668727
90,464,1.285092,2.049235,MGC,1.027041,0.318998,1.319842,0.653702
91,468,1.454919,1.735438,MGC,0.694305,0.391739,1.010157,0.679838
92,477,1.295000,2.141775,MGC,0.973687,0.265413,1.260925,0.568454
93,488,1.533412,3.773486,MGC,0.576802,0.100539,0.884475,0.379383
94,492,1.326137,1.460626,MGC,0.866260,0.671892,1.148779,0.981383
95,496,1.437473,1.777257,MGC,0.780027,0.510691,1.121268,0.907630
96,501,1.733207,2.304664,MGC,0.271836,0.174969,0.471148,0.403244
97,519,1.360816,2.173472,MGC,0.685664,0.264452,0.933063,0.574780
98,528,1.356469,2.468490,MGC,0.596351,0.151823,0.808932,0.374775
99,538,1.336209,1.851518,MGC,0.891456,0.353913,1.191172,0.655277
100,549,1.200168,3.280120,MGC,0.582834,0.216255,0.699499,0.709343
101,552,1.544389,2.429668,MGC,0.639490,0.356322,0.987622,0.865745
102,554,1.609532,2.043830,MGC,0.381052,0.236238,0.613315,0.482830
103,560,1.449212,2.133934,MGC,0.706054,0.400411,1.023222,0.854451
104,562,1.454129,1.845327,MGC,0.522660,0.315907,0.760015,0.582951
